vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
9, 1, 1, 1, 3, 3, 2, 1, 1, 1, 407.000
9, 1, 2, 1, 1, 1, 2, 2, 1, 1, 7062.000
9, 1, 3, 1, 2, 1, 1, 2, 2, 1, 1349.000
9, 1, 4, 1, 2, 1, 2, 2, 2, 2, 6202.000
9, 1, 5, 1, 3, 3, 2, 2, 1, 2, 868.000
9, 1, 6, 1, 3, 1, 1, 1, 2, 2, 1266.000
9, 1, 7, 1, 2, 3, 2, 1, 2, 2, 184.000
9, 1, 8, 1, 1, 1, 1, 1, 2, 2, 0.000
9, 1, 9, 1, 1, 3, 2, 1, 2, 2, 18.000
9, 1, 10, 1, 2, 3, 1, 2, 1, 2, 0.000
9, 1, 11, 1, 1, 3, 1, 2, 1, 1, 3214.000
9, 1, 12, 1, 1, 3, 1, 1, 2, 1, 0.000
9, 2, 1, 0, 1, 3, 2, 2, 1, 2, 783.000
9, 2, 2, 0, 3, 2, 2, 1, 1, 2, 315.000
9, 2, 3, 0, 2, 1, 1, 1, 2, 1, 3261.000
9, 2, 4, 0, 3, 3, 2, 2, 1, 2, 1131.000
9, 2, 5, 0, 3, 1, 1, 1, 2, 2, 11.000
9, 2, 6, 0, 2, 1, 2, 2, 2, 2, 2691.000
9, 2, 7, 0, 2, 1, 1, 2, 1, 2, 675.000
9, 2, 8, 0, 2, 2, 1, 2, 1, 2, 13.000
9, 2, 9, 0, 1, 2, 1, 1, 2, 1, 235.000
9, 2, 10, 0, 3, 2, 1, 2, 1, 2, 493.000
9, 2, 11, 0, 3, 1, 2, 1, 1, 2, 107.000
9, 2, 12, 0, 2, 3, 1, 2, 1, 2, 126.000
9, 2, 13, 0, 3, 1, 1, 2, 1, 2, 0.000
9, 2, 14, 0, 3, 1, 2, 2, 1, 2, 0.000
9, 2, 15, 0, 2, 3, 1, 1, 2, 1, 0.000
9, 2, 16, 0, 1, 1, 1, 2, 1, 2, 252.000
9, 2, 17, 0, 1, 3, 2, 1, 2, 2, 92.000
9, 2, 18, 0, 3, 2, 1, 1, 1, 2, 348.000
9, 2, 19, 0, 1, 2, 1, 2, 1, 1, 624.000
9, 2, 20, 0, 1, 1, 1, 1, 1, 1, 1364.000
9, 2, 21, 0, 3, 3, 1, 1, 2, 2, 0.000
9, 2, 22, 0, 3, 3, 2, 1, 1, 2, 0.000
9, 2, 23, 0, 2, 2, 2, 1, 1, 2, 2104.000
9, 2, 24, 0, 1, 3, 1, 1, 1, 1, 484.000
9, 2, 25, 0, 2, 2, 1, 1, 2, 2, 932.000
9, 2, 26, 0, 1, 3, 1, 2, 2, 1, 564.000
9, 2, 27, 0, 1, 2, 2, 1, 1, 1, 724.000
9, 2, 28, 0, 2, 2, 2, 2, 1, 2, 204.000
9, 2, 29, 0, 1, 1, 2, 2, 1, 1, 244.000
9, 2, 30, 0, 2, 3, 2, 1, 2, 2, 11.000
9, 2, 31, 0, 3, 3, 1, 2, 2, 2, 44.000
9, 2, 32, 0, 2, 3, 2, 2, 2, 2, 12.000
9, 2, 33, 0, 1, 1, 2, 1, 2, 1, 11.000
9, 2, 34, 0, 3, 2, 2, 2, 1, 2, 1235.000
9, 2, 35, 0, 1, 2, 2, 2, 1, 1, 261.000
9, 2, 36, 0, 2, 1, 2, 1, 2, 2, 683.000
9, 3, 1, 0, 3, 2, 1, 1, 2, 2, 217.000
9, 3, 2, 0, 1, 3, 1, 1, 2, 1, 0.000
9, 3, 3, 0, 2, 2, 1, 1, 1, 2, 9.000
9, 3, 4, 0, 3, 1, 2, 1, 2, 2, 153.000
9, 3, 5, 0, 2, 3, 1, 2, 2, 1, 147.000
9, 3, 6, 0, 1, 2, 1, 1, 2, 1, 471.000
9, 3, 7, 0, 3, 3, 1, 2, 1, 2, 123.000
9, 3, 8, 0, 3, 1, 1, 1, 2, 2, 59.000
9, 3, 9, 0, 3, 2, 2, 1, 1, 2, 49.000
9, 3, 10, 0, 3, 1, 1, 2, 2, 2, 169.000
9, 3, 11, 0, 1, 1, 1, 2, 2, 1, 49.000
9, 3, 12, 0, 3, 3, 1, 1, 1, 2, 0.000
9, 3, 13, 0, 2, 1, 1, 2, 2, 1, 107.000
9, 3, 14, 0, 2, 2, 2, 1, 1, 2, 0.000
9, 3, 15, 0, 3, 3, 2, 1, 1, 2, 0.000
9, 3, 16, 0, 2, 3, 1, 1, 2, 2, 26.000
9, 3, 17, 0, 3, 3, 2, 2, 2, 2, 54.000
9, 3, 18, 0, 2, 1, 2, 2, 1, 1, 84.000
9, 3, 19, 0, 1, 3, 2, 2, 1, 2, 0.000
9, 3, 20, 0, 3, 2, 1, 2, 2, 2, 0.000
9, 3, 21, 0, 1, 1, 1, 1, 2, 1, 0.000
9, 3, 22, 0, 1, 3, 2, 1, 2, 2, 0.000
9, 3, 23, 0, 2, 3, 2, 1, 1, 2, 12.000
9, 3, 24, 0, 1, 2, 1, 2, 2, 2, 0.000
9, 3, 25, 0, 2, 1, 1, 1, 2, 1, 0.000
9, 3, 26, 0, 2, 2, 2, 2, 1, 2, 0.000
9, 3, 27, 0, 3, 1, 2, 2, 2, 2, 202.000
9, 3, 28, 0, 1, 2, 2, 2, 2, 1, 140.000
9, 3, 29, 0, 3, 2, 2, 2, 1, 2, 0.000
9, 3, 30, 0, 2, 1, 2, 1, 2, 1, 0.000
