vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
5, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4146.000
5, 1, 2, 1, 1, 3, 2, 1, 1, 2, 614.000
5, 1, 3, 1, 3, 1, 2, 2, 1, 2, 27366.000
5, 1, 4, 1, 1, 3, 1, 2, 2, 2, 1767.000
5, 1, 5, 1, 2, 3, 2, 2, 1, 2, 2569.000
5, 1, 6, 1, 1, 1, 2, 2, 2, 1, 0.000
5, 1, 7, 1, 1, 2, 2, 2, 2, 2, 3047.000
5, 1, 8, 1, 2, 3, 1, 2, 1, 2, 545.000
5, 1, 9, 1, 1, 1, 2, 1, 1, 1, 591.000
5, 1, 10, 1, 3, 2, 2, 2, 2, 2, 661.000
5, 1, 11, 1, 2, 2, 1, 1, 2, 2, 2469.000
5, 1, 12, 1, 2, 1, 2, 2, 2, 1, 2147.000
5, 2, 1, 0, 1, 1, 2, 2, 1, 1, 26.000
5, 2, 2, 0, 1, 3, 2, 1, 1, 2, 2845.000
5, 2, 3, 0, 3, 1, 1, 1, 1, 2, 3389.000
5, 2, 4, 0, 2, 3, 1, 1, 1, 2, 0.000
5, 2, 5, 0, 1, 3, 2, 2, 2, 2, 2819.000
5, 2, 6, 0, 1, 2, 2, 1, 2, 1, 505.000
5, 2, 7, 0, 2, 3, 2, 1, 1, 2, 3461.000
5, 2, 8, 0, 3, 1, 2, 1, 1, 2, 515.000
5, 2, 9, 0, 2, 2, 1, 2, 2, 2, 1693.000
5, 2, 10, 0, 1, 1, 2, 1, 1, 1, 949.000
5, 2, 11, 0, 3, 2, 2, 2, 1, 2, 137.000
5, 2, 12, 0, 2, 1, 2, 2, 1, 1, 1462.000
5, 2, 13, 0, 1, 2, 2, 2, 1, 2, 732.000
5, 2, 14, 0, 3, 2, 1, 2, 2, 2, 364.000
5, 2, 15, 0, 3, 2, 2, 1, 1, 2, 2076.000
5, 2, 16, 0, 3, 1, 1, 2, 1, 2, 470.000
5, 2, 17, 0, 2, 2, 2, 2, 2, 2, 18.000
5, 2, 18, 0, 3, 3, 2, 1, 1, 2, 0.000
5, 2, 19, 0, 3, 3, 1, 1, 1, 2, 0.000
5, 2, 20, 0, 1, 3, 1, 1, 2, 1, 652.000
5, 2, 21, 0, 2, 2, 2, 1, 2, 2, 0.000
5, 2, 22, 0, 2, 1, 2, 1, 2, 1, 2166.000
5, 2, 23, 0, 1, 1, 1, 2, 1, 1, 1686.000
5, 2, 24, 0, 1, 3, 1, 2, 1, 1, 1862.000
5, 2, 25, 0, 3, 2, 1, 1, 2, 2, 1364.000
5, 2, 26, 0, 1, 1, 1, 1, 1, 1, 628.000
5, 2, 27, 0, 3, 1, 2, 2, 1, 2, 655.000
5, 2, 28, 0, 3, 3, 1, 2, 1, 2, 365.000
5, 2, 29, 0, 1, 2, 1, 2, 2, 1, 509.000
5, 2, 30, 0, 3, 3, 2, 2, 2, 2, 0.000
5, 2, 31, 0, 2, 3, 2, 2, 2, 2, 267.000
5, 2, 32, 0, 2, 1, 1, 2, 2, 1, 279.000
5, 2, 33, 0, 1, 2, 1, 1, 1, 1, 337.000
5, 2, 34, 0, 2, 1, 1, 1, 2, 1, 1239.000
5, 2, 35, 0, 2, 3, 1, 2, 1, 1, 177.000
5, 2, 36, 0, 2, 2, 1, 1, 2, 2, 2391.000
5, 3, 1, 0, 3, 2, 2, 2, 1, 2, 328.000
5, 3, 2, 0, 3, 3, 2, 1, 2, 2, 0.000
5, 3, 3, 0, 1, 3, 2, 2, 2, 1, 266.000
5, 3, 4, 0, 3, 3, 2, 2, 1, 2, 1438.000
5, 3, 5, 0, 3, 3, 1, 1, 1, 2, 0.000
5, 3, 6, 0, 3, 2, 1, 1, 1, 2, 0.000
5, 3, 7, 0, 2, 3, 1, 2, 1, 1, 188.000
5, 3, 8, 0, 3, 1, 2, 2, 1, 2, 136.000
5, 3, 9, 0, 1, 2, 2, 2, 2, 1, 518.000
5, 3, 10, 0, 3, 2, 2, 1, 2, 2, 392.000
5, 3, 11, 0, 3, 1, 1, 2, 1, 2, 628.000
5, 3, 12, 0, 2, 2, 1, 1, 1, 1, 432.000
5, 3, 13, 0, 3, 2, 1, 2, 1, 2, 108.000
5, 3, 14, 0, 1, 1, 2, 2, 1, 1, 1671.000
5, 3, 15, 0, 1, 1, 2, 1, 1, 1, 371.000
5, 3, 16, 0, 2, 1, 1, 2, 1, 1, 0.000
5, 3, 17, 0, 2, 1, 2, 1, 2, 2, 1541.000
5, 3, 18, 0, 1, 1, 1, 2, 1, 1, 619.000
5, 3, 19, 0, 2, 3, 2, 2, 1, 2, 2057.000
5, 3, 20, 0, 2, 1, 1, 1, 2, 1, 0.000
5, 3, 21, 0, 2, 2, 1, 2, 1, 2, 1577.000
5, 3, 22, 0, 1, 3, 1, 2, 1, 1, 6655.000
5, 3, 23, 0, 2, 2, 2, 2, 1, 2, 0.000
5, 3, 24, 0, 2, 1, 2, 2, 2, 2, 279.000
5, 3, 25, 0, 1, 2, 1, 2, 2, 1, 49.000
5, 3, 26, 0, 1, 2, 1, 1, 2, 2, 17.000
5, 3, 27, 0, 2, 3, 2, 1, 1, 2, 367.000
5, 3, 28, 0, 3, 1, 1, 1, 2, 2, 38.000
5, 3, 29, 0, 3, 3, 1, 2, 2, 2, 2472.000
5, 3, 30, 0, 2, 2, 2, 1, 2, 1, 1132.000
5, 3, 31, 0, 1, 1, 1, 1, 1, 1, 172.000
5, 3, 32, 0, 1, 2, 2, 1, 2, 1, 12.000
5, 3, 33, 0, 3, 1, 2, 1, 2, 2, 7356.000
5, 3, 34, 0, 1, 3, 1, 1, 1, 1, 4870.000
5, 3, 35, 0, 2, 3, 1, 1, 2, 2, 178.000
5, 3, 36, 0, 1, 3, 2, 1, 1, 1, 632.000
5, 4, 1, 0, 2, 1, 1, 2, 2, 1, 990.000
5, 4, 2, 0, 2, 3, 2, 2, 2, 2, 82.000
5, 4, 3, 0, 1, 1, 2, 2, 1, 1, 196.000
5, 4, 4, 0, 1, 3, 1, 1, 1, 1, 766.000
5, 4, 5, 0, 3, 3, 1, 1, 2, 2, 341.000
5, 4, 6, 0, 1, 1, 1, 1, 1, 1, 235.000
5, 4, 7, 0, 1, 3, 2, 1, 2, 1, 61.000
5, 4, 8, 0, 3, 2, 1, 1, 1, 2, 1507.000
5, 4, 9, 0, 1, 2, 1, 2, 2, 1, 0.000
5, 4, 10, 0, 1, 2, 2, 1, 1, 2, 2185.000
5, 4, 11, 0, 3, 3, 2, 1, 2, 2, 141.000
5, 4, 12, 0, 3, 2, 1, 2, 2, 2, 1699.000
5, 4, 13, 0, 2, 2, 1, 2, 1, 1, 0.000
5, 4, 14, 0, 2, 1, 2, 2, 2, 1, 1563.000
5, 4, 15, 0, 2, 2, 2, 1, 1, 2, 99.000
5, 4, 16, 0, 2, 1, 2, 1, 1, 2, 537.000
5, 4, 17, 0, 3, 3, 2, 2, 1, 2, 0.000
5, 4, 18, 0, 2, 2, 1, 1, 2, 2, 2249.000
5, 4, 19, 0, 1, 2, 1, 1, 2, 1, 33.000
5, 4, 20, 0, 1, 1, 1, 2, 1, 1, 0.000
5, 4, 21, 0, 3, 3, 1, 2, 1, 2, 1943.000
5, 4, 22, 0, 2, 3, 1, 1, 2, 1, 1362.000
5, 4, 23, 0, 1, 1, 2, 1, 1, 1, 220.000
5, 4, 24, 0, 3, 1, 2, 1, 1, 2, 122.000
5, 4, 25, 0, 2, 1, 1, 1, 2, 1, 1124.000
5, 4, 26, 0, 2, 3, 2, 1, 1, 2, 52.000
5, 4, 27, 0, 3, 2, 2, 2, 1, 2, 108.000
5, 4, 28, 0, 2, 2, 2, 2, 1, 2, 1336.000
5, 4, 29, 0, 3, 1, 1, 2, 2, 2, 0.000
5, 4, 30, 0, 3, 1, 2, 2, 2, 2, 2904.000
5, 4, 31, 0, 1, 2, 2, 2, 1, 1, 20.000
5, 4, 32, 0, 2, 3, 1, 2, 2, 1, 1370.000
5, 4, 33, 0, 1, 3, 2, 2, 1, 1, 34.000
5, 4, 34, 0, 3, 1, 1, 1, 2, 2, 300.000
5, 4, 35, 0, 3, 2, 2, 1, 1, 2, 1130.000
5, 4, 36, 0, 1, 3, 1, 2, 1, 1, 0.000
5, 5, 1, 0, 2, 3, 2, 1, 1, 2, 0.000
5, 5, 2, 0, 1, 1, 2, 1, 2, 1, 0.000
5, 5, 3, 0, 3, 2, 2, 1, 1, 2, 2408.000
5, 5, 4, 0, 2, 1, 2, 2, 2, 2, 16.000
5, 5, 5, 0, 1, 3, 2, 2, 1, 1, 390.000
5, 5, 6, 0, 3, 3, 2, 2, 2, 2, 274.000
5, 5, 7, 0, 3, 1, 2, 1, 2, 2, 0.000
5, 5, 8, 0, 2, 3, 1, 1, 2, 1, 628.000
5, 5, 9, 0, 1, 2, 2, 2, 1, 1, 1296.000
5, 5, 10, 0, 2, 2, 2, 1, 1, 1, 1638.000
5, 5, 11, 0, 2, 1, 2, 1, 1, 2, 1936.000
5, 5, 12, 0, 3, 3, 2, 1, 1, 2, 0.000
5, 5, 13, 0, 2, 3, 1, 2, 1, 1, 56.000
5, 5, 14, 0, 1, 2, 1, 2, 2, 1, 334.000
5, 5, 15, 0, 1, 3, 2, 1, 2, 1, 51.000
5, 5, 16, 0, 3, 1, 1, 1, 1, 2, 859.000
5, 5, 17, 0, 3, 2, 1, 1, 1, 2, 41.000
5, 5, 18, 0, 2, 2, 1, 1, 1, 1, 563.000
5, 5, 19, 0, 2, 2, 1, 2, 2, 1, 843.000
5, 5, 20, 0, 1, 2, 1, 1, 2, 1, 507.000
5, 5, 21, 0, 2, 3, 2, 2, 2, 2, 431.000
5, 5, 22, 0, 3, 1, 2, 2, 1, 2, 355.000
5, 5, 23, 0, 2, 2, 2, 2, 2, 1, 637.000
5, 5, 24, 0, 3, 3, 1, 1, 1, 2, 143.000
5, 5, 25, 0, 1, 3, 1, 1, 2, 1, 2099.000
5, 5, 26, 0, 1, 1, 1, 2, 2, 1, 313.000
5, 5, 27, 0, 1, 3, 1, 2, 1, 1, 203.000
5, 5, 28, 0, 3, 2, 1, 2, 2, 2, 781.000
5, 5, 29, 0, 2, 1, 1, 2, 2, 1, 19.000
5, 5, 30, 0, 1, 1, 1, 1, 2, 1, 1.000
5, 5, 31, 0, 3, 3, 1, 2, 2, 2, 339.000
5, 5, 32, 0, 1, 2, 2, 1, 2, 1, 185.000
5, 5, 33, 0, 1, 1, 2, 2, 1, 1, 28.000
5, 5, 34, 0, 2, 1, 1, 1, 2, 1, 96.000
5, 5, 35, 0, 3, 2, 2, 2, 2, 2, 22.000
5, 5, 36, 0, 3, 1, 1, 2, 2, 2, 0.000
5, 6, 1, 0, 3, 2, 1, 2, 1, 2, 693.000
5, 6, 2, 0, 2, 3, 1, 2, 1, 1, 179.000
5, 6, 3, 0, 2, 1, 2, 1, 2, 2, 17.000
5, 6, 4, 0, 3, 3, 2, 1, 2, 2, 1703.000
5, 6, 5, 0, 3, 3, 1, 2, 2, 2, 515.000
5, 6, 6, 0, 3, 3, 1, 1, 2, 2, 317.000
5, 6, 7, 0, 1, 3, 2, 2, 2, 1, 15.000
5, 6, 8, 0, 1, 3, 1, 1, 2, 1, 13.000
5, 6, 9, 0, 3, 1, 1, 1, 1, 2, 75.000
5, 6, 10, 0, 2, 3, 1, 1, 2, 2, 429.000
5, 6, 11, 0, 2, 3, 2, 1, 2, 2, 233.000
5, 6, 12, 0, 3, 2, 1, 1, 1, 2, 107.000
5, 6, 13, 0, 1, 2, 1, 1, 2, 1, 71.000
5, 6, 14, 0, 3, 2, 2, 2, 1, 2, 0.000
5, 6, 15, 0, 2, 2, 2, 2, 2, 2, 1749.000
5, 6, 16, 0, 1, 2, 2, 2, 1, 1, 184.000
5, 6, 17, 0, 2, 2, 2, 1, 2, 2, 204.000
5, 6, 18, 0, 3, 1, 1, 2, 2, 2, 132.000
5, 6, 19, 0, 2, 1, 1, 1, 1, 1, 20.000
5, 6, 20, 0, 3, 1, 2, 2, 2, 2, 1482.000
5, 6, 21, 0, 1, 3, 1, 2, 1, 1, 100.000
5, 6, 22, 0, 1, 2, 2, 1, 1, 1, 426.000
5, 6, 23, 0, 3, 1, 2, 1, 1, 2, 78.000
5, 6, 24, 0, 1, 1, 1, 1, 1, 1, 8.000
5, 6, 25, 0, 1, 2, 1, 2, 1, 1, 16.000
5, 6, 26, 0, 2, 2, 1, 2, 2, 1, 0.000
5, 6, 27, 0, 2, 1, 2, 2, 2, 1, 80.000
5, 6, 28, 0, 1, 3, 2, 1, 2, 1, 0.000
5, 6, 29, 0, 2, 3, 2, 2, 1, 1, 0.000
5, 6, 30, 0, 1, 1, 1, 2, 2, 1, 1182.000
5, 6, 31, 0, 3, 2, 2, 1, 1, 2, 212.000
5, 6, 32, 0, 3, 3, 2, 2, 2, 2, 36.000
5, 6, 33, 0, 2, 2, 1, 1, 1, 2, 0.000
5, 6, 34, 0, 2, 1, 1, 2, 2, 1, 0.000
5, 6, 35, 0, 1, 1, 2, 1, 2, 1, 0.000
5, 6, 36, 0, 1, 1, 2, 2, 1, 1, 0.000
5, 7, 1, 0, 1, 1, 1, 1, 2, 1, 978.000
5, 7, 2, 0, 2, 3, 2, 1, 2, 2, 168.000
5, 7, 3, 0, 1, 3, 2, 2, 1, 1, 1152.000
5, 7, 4, 0, 3, 1, 2, 2, 1, 2, 0.000
5, 7, 5, 0, 1, 1, 2, 2, 1, 1, 1942.000
5, 7, 6, 0, 1, 3, 1, 2, 2, 1, 172.000
5, 7, 7, 0, 1, 3, 1, 1, 1, 1, 20.000
5, 7, 8, 0, 1, 2, 2, 2, 1, 1, 0.000
5, 7, 9, 0, 1, 1, 2, 1, 2, 1, 28.000
5, 7, 10, 0, 2, 2, 1, 2, 1, 1, 0.000
5, 7, 11, 0, 1, 2, 2, 1, 2, 1, 0.000
5, 7, 12, 0, 3, 2, 2, 2, 2, 2, 0.000
5, 7, 13, 0, 2, 1, 2, 1, 2, 1, 62.000
5, 7, 14, 0, 2, 2, 2, 2, 2, 1, 812.000
5, 7, 15, 0, 2, 3, 1, 2, 1, 1, 115.000
5, 7, 16, 0, 2, 3, 2, 2, 2, 1, 0.000
5, 7, 17, 0, 1, 1, 1, 2, 2, 1, 0.000
5, 7, 18, 0, 2, 2, 2, 1, 1, 2, 0.000
5, 7, 19, 0, 1, 3, 2, 1, 1, 1, 387.000
5, 7, 20, 0, 3, 1, 1, 1, 1, 2, 159.000
5, 7, 21, 0, 2, 1, 2, 2, 2, 1, 1945.000
5, 7, 22, 0, 3, 1, 2, 1, 1, 2, 413.000
5, 7, 23, 0, 3, 1, 1, 2, 2, 2, 35.000
5, 7, 24, 0, 2, 3, 1, 1, 1, 2, 645.000
5, 7, 25, 0, 3, 3, 2, 1, 1, 2, 0.000
5, 7, 26, 0, 2, 1, 1, 2, 1, 1, 0.000
5, 7, 27, 0, 3, 3, 1, 1, 1, 2, 2640.000
5, 7, 28, 0, 3, 2, 2, 1, 2, 2, 147.000
5, 7, 29, 0, 1, 2, 1, 1, 2, 1, 1119.000
5, 7, 30, 0, 2, 2, 1, 1, 1, 2, 49.000
5, 7, 31, 0, 1, 2, 1, 2, 2, 1, 0.000
5, 7, 32, 0, 3, 3, 1, 2, 2, 2, 1443.000
5, 7, 33, 0, 3, 2, 1, 1, 1, 2, 0.000
5, 7, 34, 0, 2, 1, 1, 1, 2, 2, 125.000
5, 7, 35, 0, 3, 2, 1, 2, 2, 2, 1332.000
5, 7, 36, 0, 3, 3, 2, 2, 2, 2, 148.000
5, 8, 1, 0, 2, 2, 2, 1, 2, 1, 1689.000
5, 8, 2, 0, 2, 2, 1, 2, 2, 2, 9.000
5, 8, 3, 0, 2, 1, 1, 1, 1, 1, 1209.000
5, 8, 4, 0, 1, 1, 2, 2, 1, 1, 0.000
5, 8, 5, 0, 2, 3, 2, 2, 1, 2, 0.000
5, 8, 6, 0, 3, 1, 1, 2, 1, 2, 0.000
5, 8, 7, 0, 3, 2, 1, 2, 1, 2, 1799.000
5, 8, 8, 0, 2, 2, 2, 2, 2, 2, 1825.000
5, 8, 9, 0, 2, 1, 2, 2, 2, 2, 0.000
5, 8, 10, 0, 2, 3, 1, 2, 2, 2, 0.000
5, 8, 11, 0, 3, 2, 2, 2, 1, 2, 1352.000
5, 8, 12, 0, 1, 2, 1, 1, 2, 1, 5.000
5, 8, 13, 0, 2, 3, 2, 1, 1, 2, 29.000
5, 8, 14, 0, 3, 1, 1, 1, 2, 2, 2616.000
5, 8, 15, 0, 3, 3, 1, 1, 1, 2, 278.000
5, 8, 16, 0, 2, 1, 2, 1, 2, 2, 552.000
5, 8, 17, 0, 2, 3, 1, 1, 1, 2, 204.000
5, 8, 18, 0, 1, 3, 2, 2, 1, 1, 644.000
5, 8, 19, 0, 3, 1, 2, 1, 1, 2, 0.000
5, 8, 20, 0, 3, 2, 1, 1, 1, 2, 6.000
5, 8, 21, 0, 2, 1, 1, 2, 2, 1, 0.000
5, 8, 22, 0, 2, 2, 1, 1, 1, 2, 1176.000
5, 8, 23, 0, 1, 3, 1, 2, 1, 1, 0.000
5, 8, 24, 0, 1, 1, 2, 1, 1, 1, 0.000
5, 8, 25, 0, 1, 3, 1, 1, 2, 1, 0.000
5, 8, 26, 0, 3, 2, 2, 1, 2, 2, 0.000
5, 8, 27, 0, 1, 1, 1, 2, 2, 1, 0.000
5, 8, 28, 0, 1, 3, 2, 1, 2, 1, 0.000
5, 8, 29, 0, 3, 3, 1, 2, 1, 2, 0.000
5, 8, 30, 0, 1, 1, 1, 1, 1, 1, 1060.000
5, 8, 31, 0, 1, 2, 2, 1, 1, 1, 0.000
5, 8, 32, 0, 3, 1, 2, 2, 2, 2, 1788.000
5, 8, 33, 0, 1, 2, 2, 2, 2, 1, 0.000
5, 8, 34, 0, 1, 2, 1, 2, 1, 1, 1281.000
5, 8, 35, 0, 3, 3, 2, 1, 2, 2, 0.000
5, 8, 36, 0, 3, 3, 2, 2, 2, 2, 981.000
5, 9, 1, 0, 2, 1, 2, 1, 1, 2, 877.000
5, 9, 2, 0, 2, 2, 2, 1, 2, 2, 0.000
5, 9, 3, 0, 1, 1, 1, 1, 1, 1, 0.000
