vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 26008.000
1, 1, 2, 1, 3, 3, 2, 2, 1, 2, 11328.000
1, 1, 3, 1, 1, 3, 1, 2, 2, 2, 3929.000
1, 1, 4, 1, 1, 3, 2, 2, 1, 2, 1737.000
1, 1, 5, 1, 1, 2, 1, 2, 2, 1, 577.000
1, 1, 6, 1, 2, 2, 2, 2, 2, 2, 665.000
1, 1, 7, 1, 2, 2, 1, 2, 1, 2, 487.000
1, 1, 8, 1, 3, 3, 1, 2, 2, 2, 809.000
1, 1, 9, 1, 2, 1, 2, 1, 2, 1, 283.000
1, 1, 10, 1, 2, 2, 1, 1, 2, 2, 509.000
1, 1, 11, 1, 1, 2, 2, 2, 2, 2, 67.000
1, 1, 12, 1, 1, 3, 2, 1, 2, 2, 401.000
1, 2, 1, 0, 1, 3, 2, 1, 1, 2, 556.000
1, 2, 2, 0, 1, 1, 2, 2, 2, 1, 0.000
1, 2, 3, 0, 1, 2, 1, 2, 1, 2, 104.000
1, 2, 4, 0, 1, 3, 2, 2, 2, 1, 1452.000
1, 2, 5, 0, 2, 2, 1, 1, 1, 2, 418.000
1, 2, 6, 0, 2, 3, 2, 2, 2, 2, 120.000
1, 2, 7, 0, 2, 2, 2, 1, 2, 2, 370.000
1, 2, 8, 0, 3, 3, 2, 1, 1, 2, 122.000
1, 2, 9, 0, 3, 2, 1, 2, 1, 2, 346.000
1, 2, 10, 0, 2, 1, 2, 2, 2, 1, 214.000
1, 2, 11, 0, 3, 1, 1, 2, 2, 2, 228.000
1, 2, 12, 0, 3, 1, 2, 2, 1, 2, 56.000
1, 2, 13, 0, 1, 1, 1, 1, 2, 1, 14.000
1, 2, 14, 0, 3, 2, 1, 1, 2, 2, 300.000
1, 2, 15, 0, 2, 3, 2, 1, 2, 2, 42.000
1, 2, 16, 0, 1, 3, 1, 2, 1, 2, 28.000
1, 2, 17, 0, 3, 3, 2, 2, 2, 2, 8.000
1, 2, 18, 0, 3, 2, 2, 2, 1, 2, 64.000
1, 2, 19, 0, 1, 1, 1, 2, 1, 1, 0.000
1, 2, 20, 0, 2, 3, 1, 2, 2, 2, 0.000
1, 2, 21, 0, 3, 3, 1, 1, 2, 2, 16.000
1, 2, 22, 0, 2, 1, 2, 1, 2, 1, 165.000
1, 2, 23, 0, 1, 1, 2, 1, 1, 1, 0.000
1, 2, 24, 0, 3, 1, 2, 1, 1, 2, 0.000
1, 2, 25, 0, 2, 1, 1, 2, 2, 1, 6393.000
1, 2, 26, 0, 1, 2, 2, 1, 1, 2, 995.000
1, 2, 27, 0, 1, 2, 2, 2, 1, 2, 61.000
1, 2, 28, 0, 2, 2, 2, 2, 1, 2, 0.000
1, 2, 29, 0, 1, 2, 1, 1, 1, 1, 53.000
1, 2, 30, 0, 1, 3, 1, 1, 2, 2, 523.000
1, 2, 31, 0, 2, 1, 1, 1, 1, 1, 35.000
1, 2, 32, 0, 2, 3, 1, 1, 2, 2, 125.000
1, 2, 33, 0, 3, 3, 1, 2, 1, 2, 53.000
1, 2, 34, 0, 3, 1, 1, 1, 2, 1, 91.000
1, 2, 35, 0, 2, 2, 1, 2, 1, 1, 291.000
1, 2, 36, 0, 3, 2, 2, 1, 2, 2, 35.000
1, 3, 1, 0, 2, 2, 2, 1, 2, 2, 160.000
1, 3, 2, 0, 2, 3, 1, 1, 2, 2, 82.000
1, 3, 3, 0, 1, 1, 1, 2, 1, 1, 0.000
1, 3, 4, 0, 3, 1, 1, 1, 2, 2, 0.000
1, 3, 5, 0, 1, 3, 2, 2, 2, 2, 48.000
1, 3, 6, 0, 2, 3, 2, 1, 2, 2, 0.000
1, 3, 7, 0, 3, 3, 1, 2, 2, 2, 249.000
1, 3, 8, 0, 3, 2, 2, 2, 1, 2, 2.000
1, 3, 9, 0, 1, 3, 2, 1, 1, 2, 0.000
1, 3, 10, 0, 1, 2, 1, 1, 1, 2, 2374.000
1, 3, 11, 0, 3, 1, 2, 2, 2, 1, 44.000
1, 3, 12, 0, 2, 3, 2, 2, 1, 2, 0.000
1, 3, 13, 0, 1, 3, 1, 1, 1, 2, 85.000
1, 3, 14, 0, 3, 3, 2, 2, 1, 2, 118.000
1, 3, 15, 0, 1, 2, 2, 1, 1, 2, 135.000
1, 3, 16, 0, 3, 3, 1, 1, 2, 2, 22.000
1, 3, 17, 0, 2, 1, 1, 2, 2, 1, 0.000
1, 3, 18, 0, 3, 1, 2, 1, 1, 2, 3581.000
1, 3, 19, 0, 3, 2, 1, 2, 2, 2, 139.000
1, 3, 20, 0, 2, 1, 1, 1, 1, 1, 0.000
1, 3, 21, 0, 2, 2, 1, 1, 2, 2, 179.000
1, 3, 22, 0, 1, 1, 2, 1, 2, 1, 0.000
1, 3, 23, 0, 3, 3, 2, 1, 1, 2, 0.000
1, 3, 24, 0, 3, 2, 1, 1, 2, 2, 0.000
1, 3, 25, 0, 2, 3, 1, 2, 1, 2, 1999.000
1, 3, 26, 0, 2, 2, 2, 2, 1, 2, 121.000
1, 3, 27, 0, 2, 1, 2, 1, 2, 1, 0.000
1, 3, 28, 0, 3, 1, 1, 2, 1, 2, 0.000
1, 3, 29, 0, 1, 2, 1, 2, 1, 2, 359.000
1, 3, 30, 0, 2, 1, 2, 2, 2, 1, 0.000
1, 3, 31, 0, 1, 1, 1, 1, 2, 1, 3.000
1, 3, 32, 0, 1, 1, 2, 2, 1, 1, 2907.000
1, 3, 33, 0, 3, 2, 2, 1, 1, 2, 0.000
1, 3, 34, 0, 2, 2, 1, 2, 1, 2, 0.000
1, 3, 35, 0, 1, 2, 2, 2, 1, 2, 0.000
1, 3, 36, 0, 1, 3, 1, 2, 1, 2, 0.000
1, 4, 1, 0, 1, 1, 2, 2, 2, 1, 0.000
1, 4, 2, 0, 3, 2, 1, 1, 2, 2, 70.000
1, 4, 3, 0, 2, 1, 1, 2, 2, 1, 0.000
1, 4, 4, 0, 3, 3, 2, 1, 1, 2, 0.000
1, 4, 5, 0, 3, 1, 2, 1, 2, 2, 0.000
1, 4, 6, 0, 3, 2, 1, 2, 2, 2, 8.000
1, 4, 7, 0, 2, 3, 2, 1, 2, 2, 0.000
1, 4, 8, 0, 2, 2, 2, 1, 2, 2, 0.000
1, 4, 9, 0, 1, 1, 1, 2, 1, 1, 0.000
1, 4, 10, 0, 2, 1, 2, 1, 1, 1, 0.000
1, 4, 11, 0, 1, 1, 1, 1, 1, 1, 4352.000
1, 4, 12, 0, 3, 1, 2, 2, 2, 2, 0.000
1, 4, 13, 0, 1, 2, 1, 2, 1, 2, 93.000
1, 4, 14, 0, 1, 2, 2, 1, 2, 2, 0.000
1, 4, 15, 0, 1, 3, 2, 1, 1, 2, 0.000
1, 4, 16, 0, 1, 3, 1, 2, 1, 1, 199.000
1, 4, 17, 0, 2, 1, 1, 1, 1, 1, 0.000
1, 4, 18, 0, 3, 2, 2, 1, 1, 2, 35.000
1, 4, 19, 0, 2, 2, 1, 2, 1, 1, 2885.000
1, 4, 20, 0, 2, 2, 1, 1, 1, 2, 125.000
1, 4, 21, 0, 3, 3, 1, 1, 1, 2, 0.000
1, 4, 22, 0, 1, 2, 2, 2, 2, 1, 23.000
1, 4, 23, 0, 1, 1, 2, 1, 1, 1, 0.000
1, 4, 24, 0, 3, 1, 1, 1, 2, 1, 0.000
1, 4, 25, 0, 3, 2, 2, 2, 1, 2, 0.000
1, 4, 26, 0, 2, 3, 1, 1, 2, 2, 0.000
1, 4, 27, 0, 1, 3, 2, 2, 2, 1, 0.000
1, 4, 28, 0, 2, 3, 2, 2, 1, 2, 245.000
1, 4, 29, 0, 3, 3, 1, 2, 2, 2, 0.000
1, 4, 30, 0, 2, 2, 2, 2, 2, 2, 0.000
1, 4, 31, 0, 1, 2, 1, 1, 2, 1, 1785.000
1, 4, 32, 0, 3, 3, 2, 2, 1, 2, 0.000
1, 4, 33, 0, 2, 1, 2, 2, 1, 1, 0.000
1, 4, 34, 0, 2, 3, 1, 2, 2, 2, 0.000
1, 4, 35, 0, 3, 1, 1, 2, 1, 2, 0.000
1, 4, 36, 0, 1, 3, 1, 1, 1, 2, 413.000
1, 5, 1, 0, 2, 1, 1, 2, 1, 1, 0.000
1, 5, 2, 0, 1, 1, 2, 1, 2, 1, 0.000
1, 5, 3, 0, 3, 2, 2, 1, 1, 2, 0.000
1, 5, 4, 0, 2, 1, 1, 1, 1, 1, 0.000
1, 5, 5, 0, 3, 2, 2, 2, 1, 2, 0.000
1, 5, 6, 0, 2, 2, 2, 1, 2, 2, 0.000
1, 5, 7, 0, 1, 2, 2, 2, 2, 2, 0.000
1, 5, 8, 0, 1, 2, 1, 1, 2, 1, 6.000
1, 5, 9, 0, 3, 1, 2, 2, 2, 2, 0.000
1, 5, 10, 0, 2, 3, 1, 2, 2, 1, 0.000
1, 5, 11, 0, 1, 3, 1, 1, 1, 1, 0.000
1, 5, 12, 0, 3, 1, 1, 2, 1, 2, 0.000
1, 5, 13, 0, 2, 1, 2, 1, 2, 1, 3678.000
1, 5, 14, 0, 3, 3, 1, 1, 1, 2, 256.000
1, 5, 15, 0, 2, 3, 1, 1, 2, 2, 0.000
1, 5, 16, 0, 2, 3, 2, 2, 1, 2, 2480.000
1, 5, 17, 0, 2, 2, 2, 2, 1, 2, 0.000
1, 5, 18, 0, 1, 1, 2, 2, 2, 1, 0.000
1, 5, 19, 0, 2, 2, 1, 2, 2, 2, 0.000
1, 5, 20, 0, 1, 3, 1, 2, 1, 2, 15.000
1, 5, 21, 0, 1, 1, 1, 2, 1, 1, 13.000
1, 5, 22, 0, 3, 2, 1, 2, 2, 2, 0.000
1, 5, 23, 0, 1, 2, 2, 1, 1, 2, 189.000
1, 5, 24, 0, 2, 3, 2, 1, 2, 2, 73.000
1, 5, 25, 0, 2, 2, 1, 1, 1, 2, 0.000
1, 5, 26, 0, 3, 3, 2, 1, 1, 2, 0.000
1, 5, 27, 0, 3, 1, 2, 1, 1, 2, 63.000
1, 5, 28, 0, 2, 1, 2, 2, 2, 1, 0.000
1, 5, 29, 0, 3, 2, 1, 1, 2, 2, 0.000
1, 5, 30, 0, 1, 2, 1, 2, 1, 2, 0.000
1, 5, 31, 0, 3, 3, 1, 2, 1, 2, 0.000
1, 5, 32, 0, 3, 1, 1, 1, 1, 2, 0.000
1, 5, 33, 0, 1, 1, 1, 1, 2, 1, 0.000
1, 5, 34, 0, 1, 3, 2, 2, 1, 1, 0.000
1, 5, 35, 0, 3, 3, 2, 2, 2, 2, 0.000
1, 5, 36, 0, 1, 3, 2, 1, 1, 2, 0.000
1, 6, 1, 0, 3, 1, 2, 1, 2, 2, 1700.000
1, 6, 2, 0, 2, 3, 1, 2, 1, 1, 35.000
1, 6, 3, 0, 2, 1, 2, 2, 2, 1, 0.000
1, 6, 4, 0, 2, 2, 1, 2, 1, 1, 0.000
1, 6, 5, 0, 3, 3, 2, 1, 2, 2, 1960.000
1, 6, 6, 0, 1, 2, 1, 1, 1, 1, 0.000
1, 6, 7, 0, 1, 3, 2, 1, 1, 2, 0.000
1, 6, 8, 0, 1, 1, 1, 2, 2, 2, 22.000
1, 6, 9, 0, 2, 3, 1, 1, 1, 2, 0.000
1, 6, 10, 0, 1, 3, 2, 2, 1, 1, 0.000
1, 6, 11, 0, 1, 3, 1, 2, 1, 2, 0.000
1, 6, 12, 0, 3, 2, 2, 1, 2, 2, 18.000
1, 6, 13, 0, 2, 2, 1, 1, 1, 2, 0.000
1, 6, 14, 0, 3, 1, 1, 1, 2, 2, 0.000
1, 6, 15, 0, 3, 1, 2, 2, 2, 2, 1652.000
1, 6, 16, 0, 3, 2, 1, 1, 2, 2, 44.000
1, 6, 17, 0, 1, 1, 1, 1, 2, 1, 0.000
1, 6, 18, 0, 1, 3, 1, 1, 1, 1, 0.000
1, 6, 19, 0, 1, 2, 2, 1, 2, 1, 0.000
1, 6, 20, 0, 3, 2, 2, 2, 2, 2, 0.000
1, 6, 21, 0, 2, 1, 2, 1, 2, 2, 0.000
1, 6, 22, 0, 2, 3, 2, 1, 2, 2, 0.000
1, 6, 23, 0, 3, 3, 1, 1, 2, 2, 2895.000
1, 6, 24, 0, 2, 1, 1, 1, 2, 1, 0.000
1, 6, 25, 0, 2, 2, 2, 1, 1, 2, 0.000
1, 6, 26, 0, 3, 3, 2, 2, 1, 2, 0.000
1, 6, 27, 0, 2, 1, 1, 2, 2, 2, 0.000
1, 6, 28, 0, 2, 3, 2, 2, 2, 2, 0.000
1, 6, 29, 0, 1, 1, 2, 2, 1, 1, 0.000
1, 6, 30, 0, 2, 2, 2, 2, 1, 2, 0.000
1, 6, 31, 0, 3, 2, 1, 2, 1, 2, 1659.000
1, 6, 32, 0, 3, 1, 1, 2, 2, 2, 0.000
1, 6, 33, 0, 1, 2, 2, 2, 1, 2, 1099.000
1, 6, 34, 0, 1, 2, 1, 2, 1, 1, 0.000
1, 6, 35, 0, 1, 1, 2, 1, 2, 1, 0.000
1, 6, 36, 0, 3, 3, 1, 2, 1, 2, 0.000
1, 7, 1, 0, 3, 3, 1, 2, 1, 2, 0.000
1, 7, 2, 0, 3, 3, 2, 2, 2, 2, 0.000
1, 7, 3, 0, 2, 3, 2, 2, 1, 2, 1464.000
1, 7, 4, 0, 3, 2, 1, 1, 2, 2, 365.000
1, 7, 5, 0, 2, 3, 2, 1, 1, 2, 68.000
1, 7, 6, 0, 1, 1, 2, 1, 2, 1, 160.000
1, 7, 7, 0, 3, 3, 1, 1, 2, 2, 0.000
1, 7, 8, 0, 1, 2, 1, 1, 2, 1, 0.000
1, 7, 9, 0, 3, 2, 2, 1, 1, 2, 6.000
1, 7, 10, 0, 3, 1, 1, 2, 1, 2, 0.000
1, 7, 11, 0, 2, 1, 1, 2, 2, 2, 48.000
1, 7, 12, 0, 3, 1, 2, 2, 1, 2, 24.000
1, 7, 13, 0, 2, 2, 2, 2, 2, 2, 28.000
1, 7, 14, 0, 2, 1, 1, 1, 1, 1, 0.000
1, 7, 15, 0, 2, 3, 1, 1, 2, 2, 98.000
1, 7, 16, 0, 2, 2, 1, 2, 1, 2, 104.000
1, 7, 17, 0, 1, 3, 1, 1, 1, 1, 4.000
1, 7, 18, 0, 2, 1, 2, 1, 2, 2, 0.000
1, 7, 19, 0, 3, 2, 2, 2, 2, 2, 70.000
1, 7, 20, 0, 1, 1, 1, 1, 2, 1, 0.000
1, 7, 21, 0, 1, 3, 2, 2, 2, 1, 0.000
1, 7, 22, 0, 2, 2, 1, 1, 2, 2, 0.000
1, 7, 23, 0, 3, 1, 1, 1, 1, 2, 216.000
1, 7, 24, 0, 2, 3, 1, 2, 1, 2, 0.000
1, 7, 25, 0, 3, 3, 2, 1, 1, 2, 0.000
1, 7, 26, 0, 1, 1, 1, 2, 2, 1, 1465.000
1, 7, 27, 0, 1, 2, 1, 2, 1, 1, 213.000
