vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
3, 1, 1, 1, 3, 3, 1, 1, 2, 2, 1375.000
3, 1, 2, 1, 3, 1, 1, 1, 1, 2, 14508.000
3, 1, 3, 1, 1, 1, 2, 2, 2, 1, 82.000
3, 1, 4, 1, 1, 3, 2, 2, 2, 9, 7164.000
3, 1, 5, 1, 3, 1, 1, 2, 1, 2, 780.000
3, 1, 6, 1, 1, 2, 1, 2, 2, 1, 210.000
3, 1, 7, 1, 3, 3, 2, 1, 2, 2, 402.000
3, 1, 8, 1, 2, 2, 2, 2, 1, 2, 148.000
3, 1, 9, 1, 3, 2, 2, 1, 2, 2, 400.000
3, 1, 10, 1, 2, 3, 1, 1, 2, 1, 106.000
3, 1, 11, 1, 1, 1, 1, 2, 2, 1, 166.000
3, 1, 12, 1, 2, 2, 1, 2, 2, 2, 165.000
3, 2, 1, 0, 2, 2, 1, 2, 1, 1, 121.000
3, 2, 2, 0, 3, 2, 1, 2, 1, 2, 155.000
3, 2, 3, 0, 2, 1, 2, 2, 2, 1, 0.000
3, 2, 4, 0, 3, 1, 2, 1, 2, 2, 231.000
3, 2, 5, 0, 2, 2, 2, 2, 1, 2, 195.000
3, 2, 6, 0, 3, 3, 1, 2, 2, 2, 181.000
3, 2, 7, 0, 3, 3, 2, 1, 1, 2, 0.000
3, 2, 8, 0, 1, 1, 2, 2, 2, 1, 597.000
3, 2, 9, 0, 1, 3, 2, 2, 1, 1, 0.000
3, 2, 10, 0, 1, 2, 2, 2, 2, 1, 2056.000
3, 2, 11, 0, 2, 1, 1, 2, 1, 1, 511.000
3, 2, 12, 0, 2, 2, 1, 1, 1, 1, 339.000
3, 2, 13, 0, 2, 3, 2, 2, 1, 1, 1537.000
3, 2, 14, 0, 2, 3, 1, 2, 1, 2, 255.000
3, 2, 15, 0, 3, 2, 2, 1, 2, 2, 0.000
3, 2, 16, 0, 3, 1, 1, 1, 2, 2, 1022.000
3, 2, 17, 0, 3, 2, 2, 2, 1, 2, 180.000
3, 2, 18, 0, 3, 3, 2, 2, 2, 2, 250.000
3, 2, 19, 0, 1, 3, 1, 2, 1, 1, 162.000
3, 2, 20, 0, 1, 3, 1, 1, 1, 1, 252.000
3, 2, 21, 0, 2, 3, 2, 1, 2, 2, 0.000
3, 2, 22, 0, 3, 1, 2, 2, 2, 2, 0.000
3, 2, 23, 0, 3, 3, 1, 1, 1, 2, 318.000
3, 2, 24, 0, 2, 2, 2, 1, 1, 2, 0.000
3, 2, 25, 0, 1, 2, 1, 1, 1, 1, 170.000
3, 2, 26, 0, 3, 2, 1, 1, 1, 2, 146.000
3, 2, 27, 0, 1, 1, 1, 1, 1, 1, 6.000
3, 2, 28, 0, 1, 2, 1, 2, 1, 1, 0.000
3, 2, 29, 0, 1, 1, 1, 2, 2, 1, 1744.000
3, 2, 30, 0, 2, 3, 1, 1, 2, 2, 36.000
3, 2, 31, 0, 1, 1, 2, 1, 1, 1, 1566.000
3, 2, 32, 0, 3, 1, 1, 2, 2, 2, 62.000
3, 2, 33, 0, 1, 3, 2, 1, 1, 1, 3.000
3, 2, 34, 0, 2, 1, 2, 1, 1, 1, 13.000
3, 2, 35, 0, 2, 1, 1, 1, 1, 1, 507.000
3, 2, 36, 0, 1, 2, 2, 1, 2, 1, 311.000
3, 3, 1, 0, 1, 2, 2, 2, 2, 1, 0.000
3, 3, 2, 0, 1, 1, 1, 1, 2, 1, 103.000
3, 3, 3, 0, 1, 3, 2, 2, 2, 1, 67.000
3, 3, 4, 0, 2, 3, 1, 1, 2, 2, 0.000
3, 3, 5, 0, 1, 3, 2, 1, 1, 1, 17.000
3, 3, 6, 0, 1, 1, 2, 2, 2, 1, 0.000
3, 3, 7, 0, 3, 1, 1, 2, 2, 2, 113.000
3, 3, 8, 0, 2, 2, 1, 1, 1, 2, 0.000
3, 3, 9, 0, 3, 2, 1, 1, 1, 2, 13.000
3, 3, 10, 0, 3, 3, 2, 1, 1, 2, 53.000
3, 3, 11, 0, 2, 1, 1, 2, 1, 1, 843.000
3, 3, 12, 0, 1, 3, 1, 1, 1, 1, 91.000
3, 3, 13, 0, 1, 2, 1, 2, 2, 1, 11.000
3, 3, 14, 0, 1, 3, 1, 2, 1, 1, 74.000
3, 3, 15, 0, 2, 3, 2, 1, 2, 2, 60.000
3, 3, 16, 0, 2, 1, 1, 1, 2, 2, 0.000
3, 3, 17, 0, 3, 3, 2, 2, 2, 2, 164.000
3, 3, 18, 0, 2, 3, 1, 2, 1, 1, 700.000
3, 3, 19, 0, 2, 2, 1, 2, 2, 1, 154.000
3, 3, 20, 0, 1, 2, 2, 1, 1, 1, 0.000
3, 3, 21, 0, 3, 3, 1, 1, 1, 2, 14.000
3, 3, 22, 0, 3, 2, 1, 2, 1, 2, 0.000
