vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
7, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2131.000
7, 1, 2, 1, 1, 3, 2, 2, 2, 1, 641.000
7, 1, 3, 1, 1, 3, 2, 1, 1, 2, 548.000
7, 1, 4, 1, 3, 3, 2, 1, 2, 2, 730.000
7, 1, 5, 1, 2, 1, 1, 2, 2, 2, 100.000
7, 1, 6, 1, 1, 3, 1, 1, 1, 2, 84.000
7, 1, 7, 1, 3, 1, 2, 1, 1, 2, 0.000
7, 1, 8, 1, 2, 3, 1, 1, 1, 2, 0.000
7, 1, 9, 1, 3, 2, 2, 1, 2, 2, 270.000
7, 1, 10, 1, 1, 2, 2, 1, 2, 1, 516.000
7, 1, 11, 1, 3, 1, 1, 2, 1, 2, 88.000
7, 1, 12, 1, 1, 1, 1, 1, 2, 1, 224.000
7, 2, 1, 0, 2, 2, 1, 1, 1, 2, 1633.000
7, 2, 2, 0, 1, 1, 1, 1, 1, 1, 483.000
7, 2, 3, 0, 2, 2, 1, 2, 2, 2, 1051.000
7, 2, 4, 0, 1, 3, 2, 1, 2, 1, 859.000
7, 2, 5, 0, 3, 1, 1, 1, 1, 2, 721.000
7, 2, 6, 0, 3, 1, 1, 2, 2, 2, 747.000
7, 2, 7, 0, 1, 2, 2, 2, 2, 2, 719.000
7, 2, 8, 0, 2, 3, 1, 2, 1, 2, 649.000
7, 2, 9, 0, 2, 3, 2, 1, 2, 2, 345.000
7, 2, 10, 0, 3, 2, 1, 1, 2, 2, 781.000
7, 2, 11, 0, 3, 3, 2, 1, 2, 2, 563.000
7, 2, 12, 0, 2, 2, 2, 2, 2, 2, 773.000
7, 2, 13, 0, 3, 1, 2, 1, 2, 2, 245.000
7, 2, 14, 0, 1, 3, 2, 2, 2, 1, 412.000
7, 2, 15, 0, 2, 1, 2, 1, 2, 1, 469.000
7, 2, 16, 0, 1, 2, 2, 1, 2, 1, 632.000
7, 2, 17, 0, 2, 3, 2, 2, 2, 1, 788.000
7, 2, 18, 0, 3, 3, 1, 2, 2, 2, 305.000
7, 2, 19, 0, 1, 1, 2, 2, 1, 1, 1932.000
7, 2, 20, 0, 2, 1, 1, 2, 1, 2, 716.000
7, 2, 21, 0, 3, 2, 1, 2, 2, 2, 926.000
7, 2, 22, 0, 1, 1, 1, 2, 2, 2, 558.000
7, 2, 23, 0, 2, 3, 1, 1, 2, 2, 304.000
7, 2, 24, 0, 3, 3, 1, 1, 1, 2, 436.000
7, 2, 25, 0, 3, 3, 2, 2, 1, 2, 478.000
7, 2, 26, 0, 3, 2, 2, 2, 1, 2, 472.000
7, 2, 27, 0, 1, 2, 1, 2, 2, 2, 756.000
7, 2, 28, 0, 3, 2, 2, 1, 2, 2, 574.000
7, 2, 29, 0, 2, 1, 1, 1, 1, 1, 852.000
7, 2, 30, 0, 3, 1, 2, 2, 2, 1, 1660.000
7, 2, 31, 0, 2, 2, 2, 1, 1, 2, 954.000
7, 2, 32, 0, 1, 3, 1, 2, 1, 2, 3411.000
7, 2, 33, 0, 1, 2, 1, 1, 1, 1, 932.000
7, 2, 34, 0, 1, 3, 1, 1, 1, 1, 907.000
7, 2, 35, 0, 2, 1, 2, 2, 1, 1, 647.000
7, 2, 36, 0, 1, 1, 2, 1, 1, 1, 527.000
7, 3, 1, 0, 2, 2, 1, 1, 2, 2, 337.000
7, 3, 2, 0, 1, 1, 1, 1, 2, 1, 367.000
7, 3, 3, 0, 3, 2, 2, 1, 1, 2, 391.000
7, 3, 4, 0, 3, 1, 2, 1, 1, 1, 755.000
7, 3, 5, 0, 2, 1, 2, 1, 2, 1, 573.000
7, 3, 6, 0, 1, 1, 2, 1, 1, 1, 485.000
7, 3, 7, 0, 3, 3, 2, 2, 2, 2, 397.000
7, 3, 8, 0, 2, 3, 2, 1, 1, 2, 1023.000
7, 3, 9, 0, 3, 2, 2, 2, 2, 2, 557.000
7, 3, 10, 0, 1, 2, 1, 2, 1, 1, 1590.000
7, 3, 11, 0, 1, 1, 1, 2, 2, 1, 395.000
7, 3, 12, 0, 2, 2, 1, 2, 1, 2, 524.000
7, 3, 13, 0, 3, 1, 2, 2, 1, 1, 1540.000
7, 3, 14, 0, 2, 1, 2, 2, 2, 1, 658.000
7, 3, 15, 0, 2, 1, 1, 2, 1, 1, 792.000
7, 3, 16, 0, 2, 3, 2, 2, 1, 2, 2964.000
7, 3, 17, 0, 1, 3, 2, 2, 1, 1, 1556.000
7, 3, 18, 0, 2, 2, 2, 1, 2, 2, 366.000
7, 3, 19, 0, 1, 2, 2, 1, 1, 1, 462.000
7, 3, 20, 0, 3, 3, 2, 1, 2, 2, 324.000
7, 3, 21, 0, 1, 2, 1, 1, 1, 1, 540.000
7, 3, 22, 0, 3, 3, 1, 2, 2, 2, 562.000
7, 3, 23, 0, 1, 3, 2, 1, 1, 1, 636.000
7, 3, 24, 0, 3, 2, 1, 2, 1, 2, 478.000
7, 3, 25, 0, 3, 1, 1, 2, 2, 1, 2168.000
7, 3, 26, 0, 1, 1, 2, 2, 1, 1, 736.000
7, 3, 27, 0, 2, 2, 2, 2, 1, 1, 2869.000
7, 3, 28, 0, 1, 3, 1, 1, 1, 1, 545.000
7, 3, 29, 0, 3, 2, 1, 1, 1, 2, 421.000
7, 3, 30, 0, 3, 3, 1, 1, 1, 2, 603.000
7, 3, 31, 0, 2, 1, 1, 1, 2, 1, 1541.000
7, 3, 32, 0, 1, 3, 1, 2, 2, 2, 715.000
7, 3, 33, 0, 2, 3, 1, 2, 1, 2, 805.000
7, 3, 34, 0, 2, 3, 1, 1, 2, 2, 349.000
7, 3, 35, 0, 1, 2, 2, 2, 1, 1, 1145.000
7, 3, 36, 0, 3, 1, 1, 1, 2, 1, 597.000
7, 4, 1, 0, 3, 3, 2, 2, 2, 2, 243.000
7, 4, 2, 0, 2, 1, 1, 1, 2, 1, 829.000
7, 4, 3, 0, 3, 1, 2, 2, 2, 2, 1864.000
7, 4, 4, 0, 2, 1, 2, 1, 2, 1, 804.000
7, 4, 5, 0, 2, 2, 1, 1, 2, 2, 492.000
7, 4, 6, 0, 1, 1, 1, 1, 2, 1, 300.000
7, 4, 7, 0, 2, 2, 1, 2, 2, 2, 690.000
7, 4, 8, 0, 3, 2, 1, 2, 2, 2, 626.000
7, 4, 9, 0, 1, 2, 1, 2, 1, 1, 454.000
7, 4, 10, 0, 1, 3, 2, 1, 2, 1, 1388.000
7, 4, 11, 0, 1, 3, 1, 1, 2, 1, 480.000
7, 4, 12, 0, 3, 1, 2, 1, 1, 1, 1034.000
7, 4, 13, 0, 1, 2, 2, 1, 2, 1, 1540.000
7, 4, 14, 0, 3, 2, 2, 2, 1, 2, 634.000
7, 4, 15, 0, 1, 2, 2, 2, 1, 1, 652.000
7, 4, 16, 0, 2, 3, 1, 1, 1, 2, 3412.000
7, 4, 17, 0, 3, 3, 2, 1, 2, 2, 588.000
7, 4, 18, 0, 1, 1, 1, 2, 2, 1, 504.000
7, 4, 19, 0, 3, 1, 1, 2, 2, 1, 694.000
7, 4, 20, 0, 2, 3, 2, 1, 2, 2, 2340.000
7, 4, 21, 0, 1, 1, 2, 2, 1, 1, 2217.000
7, 4, 22, 0, 3, 2, 2, 1, 2, 2, 623.000
7, 4, 23, 0, 2, 3, 1, 2, 2, 2, 1277.000
7, 4, 24, 0, 3, 3, 1, 1, 2, 2, 591.000
7, 4, 25, 0, 2, 2, 2, 2, 2, 2, 515.000
7, 4, 26, 0, 3, 1, 1, 1, 2, 1, 1429.000
7, 4, 27, 0, 1, 2, 1, 1, 1, 1, 1065.000
7, 4, 28, 0, 2, 3, 2, 2, 2, 2, 677.000
7, 4, 29, 0, 1, 3, 1, 2, 2, 1, 3111.000
7, 4, 30, 0, 3, 2, 1, 1, 1, 2, 531.000
7, 4, 31, 0, 1, 1, 2, 1, 1, 1, 2659.000
7, 4, 32, 0, 2, 1, 1, 2, 1, 1, 313.000
7, 4, 33, 0, 3, 3, 1, 2, 2, 2, 516.000
7, 4, 34, 0, 1, 3, 2, 2, 1, 1, 294.000
7, 4, 35, 0, 2, 1, 2, 2, 2, 1, 1317.000
7, 4, 36, 0, 2, 2, 2, 1, 1, 2, 710.000
7, 5, 1, 0, 3, 1, 2, 2, 1, 1, 1752.000
7, 5, 2, 0, 1, 1, 1, 2, 2, 1, 524.000
7, 5, 3, 0, 2, 1, 1, 2, 2, 1, 348.000
7, 5, 4, 0, 2, 1, 2, 1, 1, 1, 464.000
7, 5, 5, 0, 2, 1, 2, 2, 1, 2, 556.000
7, 5, 6, 0, 2, 2, 2, 2, 2, 2, 1614.000
7, 5, 7, 0, 3, 1, 1, 1, 2, 1, 1132.000
7, 5, 8, 0, 2, 3, 1, 1, 1, 2, 3484.000
7, 5, 9, 0, 1, 2, 1, 1, 1, 1, 396.000
7, 5, 10, 0, 1, 3, 1, 2, 1, 1, 653.000
7, 5, 11, 0, 3, 2, 2, 2, 1, 2, 580.000
7, 5, 12, 0, 2, 3, 1, 2, 1, 2, 810.000
7, 5, 13, 0, 2, 3, 2, 1, 2, 2, 609.000
7, 5, 14, 0, 1, 3, 1, 1, 1, 1, 1393.000
7, 5, 15, 0, 2, 2, 2, 1, 1, 1, 701.000
7, 5, 16, 0, 3, 3, 1, 2, 1, 2, 251.000
7, 5, 17, 0, 1, 2, 2, 1, 1, 1, 2539.000
7, 5, 18, 0, 3, 1, 2, 1, 1, 2, 1121.000
7, 5, 19, 0, 3, 3, 2, 1, 2, 2, 331.000
7, 5, 20, 0, 3, 2, 1, 1, 2, 2, 611.000
7, 5, 21, 0, 2, 2, 1, 2, 2, 2, 707.000
7, 5, 22, 0, 2, 1, 1, 1, 1, 1, 1015.000
7, 5, 23, 0, 1, 2, 2, 2, 2, 1, 733.000
7, 5, 24, 0, 2, 2, 1, 1, 1, 2, 653.000
7, 5, 25, 0, 3, 1, 1, 2, 1, 2, 693.000
7, 5, 26, 0, 1, 3, 2, 2, 2, 1, 621.000
7, 5, 27, 0, 3, 3, 2, 2, 1, 2, 267.000
7, 5, 28, 0, 1, 1, 1, 1, 1, 1, 623.000
7, 5, 29, 0, 1, 3, 2, 1, 2, 1, 700.000
7, 5, 30, 0, 1, 2, 1, 2, 1, 1, 794.000
7, 5, 31, 0, 1, 1, 2, 2, 2, 1, 796.000
7, 5, 32, 0, 2, 3, 2, 2, 1, 1, 390.000
7, 5, 33, 0, 3, 2, 2, 1, 1, 2, 362.000
7, 5, 34, 0, 3, 3, 1, 1, 2, 2, 1260.000
7, 5, 35, 0, 1, 1, 2, 1, 2, 1, 658.000
7, 5, 36, 0, 3, 2, 1, 2, 2, 2, 1976.000
7, 6, 1, 0, 3, 3, 1, 1, 2, 2, 148.000
7, 6, 2, 0, 2, 3, 2, 2, 1, 1, 144.000
7, 6, 3, 0, 2, 2, 1, 1, 1, 2, 1756.000
7, 6, 4, 0, 1, 1, 2, 2, 2, 1, 310.000
7, 6, 5, 0, 3, 2, 1, 2, 1, 2, 634.000
7, 6, 6, 0, 1, 2, 1, 2, 1, 1, 924.000
7, 6, 7, 0, 1, 3, 2, 2, 2, 1, 262.000
7, 6, 8, 0, 2, 2, 1, 2, 1, 1, 467.000
7, 6, 9, 0, 3, 1, 1, 2, 2, 2, 343.000
7, 6, 10, 0, 2, 1, 2, 1, 2, 1, 659.000
7, 6, 11, 0, 1, 3, 1, 1, 2, 1, 3249.000
7, 6, 12, 0, 3, 3, 2, 1, 1, 2, 225.000
7, 6, 13, 0, 1, 2, 1, 1, 2, 2, 2061.000
7, 6, 14, 0, 1, 3, 2, 1, 1, 1, 723.000
7, 6, 15, 0, 3, 1, 2, 1, 2, 2, 845.000
7, 6, 16, 0, 3, 3, 2, 2, 2, 2, 1421.000
7, 6, 17, 0, 3, 1, 2, 2, 1, 2, 187.000
7, 6, 18, 0, 2, 1, 2, 2, 2, 2, 383.000
7, 6, 19, 0, 1, 2, 2, 1, 1, 1, 381.000
7, 6, 20, 0, 3, 2, 1, 1, 1, 2, 291.000
7, 6, 21, 0, 1, 2, 2, 2, 1, 1, 179.000
7, 6, 22, 0, 1, 1, 1, 1, 2, 1, 337.000
7, 6, 23, 0, 1, 1, 1, 2, 1, 1, 191.000
7, 6, 24, 0, 1, 3, 1, 2, 1, 1, 234.000
7, 6, 25, 0, 3, 3, 1, 2, 1, 2, 124.000
7, 6, 26, 0, 2, 3, 2, 1, 1, 1, 214.000
7, 6, 27, 0, 2, 1, 1, 1, 2, 2, 372.000
7, 6, 28, 0, 3, 2, 2, 1, 2, 2, 260.000
7, 6, 29, 0, 2, 1, 1, 2, 1, 1, 106.000
7, 6, 30, 0, 2, 2, 2, 1, 1, 2, 158.000
7, 6, 31, 0, 2, 3, 1, 1, 1, 2, 200.000
7, 6, 32, 0, 2, 2, 2, 2, 1, 1, 2.000
7, 6, 33, 0, 3, 1, 1, 1, 2, 2, 756.000
7, 6, 34, 0, 1, 1, 2, 1, 1, 1, 1334.000
7, 6, 35, 0, 2, 3, 1, 2, 2, 2, 644.000
7, 6, 36, 0, 3, 2, 2, 2, 1, 2, 100.000
7, 7, 1, 0, 2, 1, 2, 1, 1, 1, 510.000
