vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
17, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2176.000
17, 1, 2, 1, 1, 2, 2, 2, 1, 2, 15094.000
17, 1, 3, 1, 1, 1, 1, 2, 2, 1, 669.000
17, 1, 4, 1, 1, 2, 1, 1, 2, 2, 5668.000
17, 1, 5, 1, 2, 2, 1, 2, 2, 1, 1249.000
17, 1, 6, 1, 1, 1, 2, 1, 1, 1, 627.000
17, 1, 7, 1, 2, 1, 2, 2, 1, 2, 369.000
17, 1, 8, 1, 3, 2, 1, 2, 2, 1, 467.000
17, 1, 9, 1, 2, 3, 1, 1, 2, 1, 1361.000
17, 1, 10, 1, 1, 1, 1, 1, 2, 1, 26085.000
17, 1, 11, 1, 1, 1, 2, 2, 1, 1, 1126.000
17, 1, 12, 1, 2, 3, 1, 2, 2, 2, 6280.000
17, 2, 1, 0, 1, 2, 2, 1, 2, 2, 0.000
17, 2, 2, 0, 3, 3, 2, 1, 1, 1, 18686.000
17, 2, 3, 0, 2, 3, 2, 1, 1, 1, 1606.000
17, 2, 4, 0, 2, 1, 2, 2, 2, 2, 150.000
17, 2, 5, 0, 2, 2, 2, 1, 1, 1, 0.000
17, 2, 6, 0, 3, 2, 2, 2, 2, 1, 3484.000
17, 2, 7, 0, 1, 1, 2, 1, 2, 2, 68.000
17, 2, 8, 0, 2, 3, 2, 2, 1, 1, 128.000
17, 2, 9, 0, 2, 3, 1, 1, 1, 1, 240.000
17, 2, 10, 0, 1, 3, 1, 2, 2, 2, 273.000
17, 2, 11, 0, 1, 3, 1, 1, 1, 2, 84.000
17, 2, 12, 0, 2, 2, 1, 1, 1, 2, 107.000
17, 2, 13, 0, 1, 3, 2, 2, 1, 2, 0.000
17, 2, 14, 0, 2, 1, 1, 1, 1, 1, 217.000
17, 2, 15, 0, 1, 2, 2, 2, 1, 2, 87.000
17, 2, 16, 0, 2, 3, 1, 2, 2, 1, 71.000
17, 2, 17, 0, 2, 2, 2, 2, 2, 1, 91.000
17, 2, 18, 0, 3, 2, 1, 2, 1, 1, 923.000
17, 2, 19, 0, 3, 1, 1, 1, 1, 1, 667.000
17, 2, 20, 0, 2, 1, 1, 2, 1, 1, 263.000
17, 2, 21, 0, 3, 3, 1, 1, 1, 1, 187.000
17, 2, 22, 0, 1, 2, 1, 2, 1, 2, 7.000
17, 2, 23, 0, 1, 2, 1, 1, 2, 2, 207.000
17, 2, 24, 0, 2, 1, 2, 1, 2, 1, 15.000
17, 2, 25, 0, 1, 1, 1, 2, 2, 2, 101.000
17, 2, 26, 0, 3, 1, 2, 2, 2, 1, 130.000
17, 2, 27, 0, 3, 3, 1, 2, 1, 1, 330.000
17, 2, 28, 0, 1, 1, 1, 1, 1, 2, 162.000
17, 2, 29, 0, 1, 1, 2, 2, 1, 2, 260.000
17, 2, 30, 0, 2, 2, 1, 2, 1, 1, 82.000
17, 2, 31, 0, 3, 3, 2, 2, 1, 1, 396.000
17, 2, 32, 0, 3, 2, 1, 1, 2, 2, 198.000
17, 2, 33, 0, 3, 1, 1, 2, 2, 2, 152.000
