vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
21, 1, 1, 1, 1, 3, 1, 2, 2, 1, 6369.000
21, 1, 2, 1, 1, 2, 2, 2, 2, 2, 0.000
21, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1827.000
21, 1, 4, 1, 2, 1, 2, 2, 2, 2, 41.000
21, 1, 5, 1, 1, 1, 2, 1, 1, 2, 426.000
21, 1, 6, 1, 1, 1, 1, 2, 2, 2, 40.000
21, 1, 7, 1, 1, 1, 2, 2, 2, 2, 12.000
21, 1, 8, 1, 2, 3, 1, 1, 2, 2, 188.000
21, 1, 9, 1, 1, 2, 1, 1, 2, 2, 306.000
21, 1, 10, 1, 2, 2, 1, 1, 1, 2, 56.000
21, 1, 11, 1, 2, 3, 2, 2, 1, 2, 0.000
21, 1, 12, 1, 2, 1, 1, 1, 2, 2, 0.000
21, 2, 1, 0, 2, 3, 1, 2, 1, 2, 266.000
21, 2, 2, 0, 2, 1, 2, 2, 2, 2, 0.000
21, 2, 3, 0, 2, 1, 1, 2, 1, 2, 16.000
21, 2, 4, 0, 3, 2, 2, 2, 1, 1, 0.000
21, 2, 5, 0, 3, 2, 1, 1, 1, 1, 24.000
21, 2, 6, 0, 2, 3, 1, 1, 1, 2, 0.000
21, 2, 7, 0, 1, 2, 2, 1, 1, 2, 70.000
21, 2, 8, 0, 2, 3, 2, 2, 1, 2, 42.000
21, 2, 9, 0, 1, 2, 1, 1, 1, 2, 67.000
21, 2, 10, 0, 2, 2, 1, 1, 1, 1, 47.000
21, 2, 11, 0, 3, 1, 1, 2, 1, 1, 15.000
21, 2, 12, 0, 1, 1, 1, 2, 1, 2, 0.000
21, 2, 13, 0, 1, 1, 1, 1, 1, 2, 0.000
21, 2, 14, 0, 3, 1, 1, 1, 2, 1, 1.000
21, 2, 15, 0, 1, 1, 2, 1, 1, 2, 0.000
21, 2, 16, 0, 3, 1, 2, 1, 2, 1, 0.000
21, 2, 17, 0, 2, 1, 2, 1, 2, 1, 87.000
21, 2, 18, 0, 2, 2, 2, 1, 2, 1, 31.000
21, 2, 19, 0, 2, 2, 1, 2, 1, 1, 0.000
21, 2, 20, 0, 3, 1, 2, 2, 2, 1, 0.000
21, 2, 21, 0, 3, 3, 2, 2, 1, 1, 0.000
21, 2, 22, 0, 3, 2, 1, 2, 1, 1, 1.000
21, 2, 23, 0, 1, 3, 2, 2, 1, 1, 0.000
21, 2, 24, 0, 3, 3, 2, 1, 2, 1, 13.000
21, 2, 25, 0, 1, 2, 2, 2, 1, 2, 0.000
21, 2, 26, 0, 3, 3, 1, 2, 1, 1, 5.000
21, 2, 27, 0, 3, 2, 2, 1, 2, 1, 13.000
21, 2, 28, 0, 1, 3, 1, 2, 1, 2, 0.000
21, 2, 29, 0, 1, 2, 1, 2, 2, 1, 0.000
21, 2, 30, 0, 1, 1, 2, 2, 2, 2, 80.000
21, 2, 31, 0, 2, 2, 2, 2, 1, 2, 26.000
21, 2, 32, 0, 1, 3, 2, 1, 2, 2, 62.000
