vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
18, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1682.000
18, 1, 2, 1, 1, 2, 2, 1, 2, 1, 866.000
18, 1, 3, 1, 3, 3, 2, 2, 2, 1, 472.000
18, 1, 4, 1, 2, 3, 1, 1, 1, 1, 468.000
18, 1, 5, 1, 2, 1, 1, 2, 2, 1, 338.000
18, 1, 6, 1, 1, 2, 1, 1, 2, 1, 522.000
18, 1, 7, 1, 2, 1, 2, 1, 1, 1, 717.000
18, 1, 8, 1, 1, 3, 1, 1, 1, 1, 745.000
18, 1, 9, 1, 3, 2, 1, 2, 2, 1, 751.000
18, 1, 10, 1, 3, 1, 2, 2, 2, 1, 133.000
18, 1, 11, 1, 2, 3, 1, 2, 2, 1, 1069.000
18, 1, 12, 1, 2, 3, 2, 1, 1, 1, 419.000
18, 2, 1, 0, 2, 1, 2, 2, 2, 1, 1455.000
18, 2, 2, 0, 2, 3, 1, 2, 1, 1, 1085.000
18, 2, 3, 0, 2, 2, 1, 2, 1, 1, 1573.000
18, 2, 4, 0, 1, 2, 1, 2, 2, 2, 6475.000
18, 2, 5, 0, 3, 1, 1, 1, 2, 1, 845.000
18, 2, 6, 0, 2, 2, 2, 1, 2, 1, 685.000
18, 2, 7, 0, 1, 3, 1, 2, 2, 1, 2340.000
18, 2, 8, 0, 3, 3, 2, 1, 1, 1, 810.000
18, 2, 9, 0, 3, 2, 2, 2, 1, 1, 3714.000
18, 2, 10, 0, 1, 1, 1, 1, 1, 1, 3036.000
18, 2, 11, 0, 1, 2, 2, 1, 1, 2, 1382.000
18, 2, 12, 0, 3, 3, 2, 2, 2, 1, 429.000
18, 2, 13, 0, 1, 3, 1, 1, 1, 2, 808.000
18, 2, 14, 0, 1, 1, 1, 2, 1, 2, 64.000
18, 2, 15, 0, 3, 3, 1, 2, 1, 1, 404.000
18, 2, 16, 0, 3, 1, 2, 1, 2, 1, 260.000
18, 2, 17, 0, 2, 3, 2, 2, 1, 1, 370.000
18, 2, 18, 0, 2, 1, 1, 2, 2, 2, 818.000
18, 2, 19, 0, 2, 3, 1, 1, 2, 1, 400.000
18, 2, 20, 0, 1, 1, 2, 1, 1, 2, 242.000
18, 2, 21, 0, 3, 1, 1, 2, 1, 1, 836.000
18, 2, 22, 0, 1, 3, 2, 1, 1, 2, 982.000
18, 2, 23, 0, 2, 1, 1, 1, 2, 2, 1059.000
