vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
13, 1, 1, 1, 3, 2, 2, 1, 1, 2, 639.000
13, 1, 2, 1, 1, 3, 1, 1, 1, 1, 0.000
13, 1, 3, 1, 1, 3, 2, 2, 1, 1, 1338.000
13, 1, 4, 1, 1, 3, 2, 1, 1, 1, 4218.000
13, 1, 5, 1, 3, 1, 2, 1, 1, 1, 0.000
13, 1, 6, 1, 1, 1, 2, 2, 1, 1, 9564.000
13, 1, 7, 1, 2, 3, 1, 1, 2, 2, 782.000
13, 1, 8, 1, 2, 1, 1, 1, 2, 1, 2052.000
13, 1, 9, 1, 1, 1, 1, 1, 1, 1, 0.000
13, 1, 10, 1, 3, 3, 2, 1, 2, 2, 0.000
13, 1, 11, 1, 3, 3, 2, 2, 1, 2, 5316.000
13, 1, 12, 1, 3, 2, 2, 2, 1, 1, 831.000
13, 2, 1, 0, 3, 3, 1, 2, 2, 2, 29.000
13, 2, 2, 0, 1, 2, 2, 1, 1, 1, 0.000
13, 2, 3, 0, 1, 3, 2, 2, 1, 1, 0.000
13, 2, 4, 0, 1, 2, 2, 2, 1, 1, 3557.000
13, 2, 5, 0, 2, 1, 2, 1, 1, 2, 150.000
13, 2, 6, 0, 2, 3, 1, 1, 2, 2, 42.000
13, 2, 7, 0, 3, 2, 2, 2, 2, 1, 138.000
13, 2, 8, 0, 1, 3, 1, 1, 1, 2, 208.000
13, 2, 9, 0, 1, 3, 1, 2, 2, 1, 3712.000
13, 2, 10, 0, 3, 1, 1, 1, 1, 2, 116.000
13, 2, 11, 0, 1, 2, 1, 1, 2, 1, 6078.000
13, 2, 12, 0, 1, 1, 2, 1, 1, 2, 200.000
13, 2, 13, 0, 1, 3, 2, 1, 2, 2, 42.000
13, 2, 14, 0, 2, 1, 1, 2, 2, 2, 2460.000
13, 2, 15, 0, 1, 1, 1, 1, 1, 1, 0.000
13, 2, 16, 0, 3, 1, 2, 2, 2, 2, 6028.000
