vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
10, 1, 1, 1, 3, 3, 2, 1, 1, 2, 297.000
10, 1, 2, 1, 1, 1, 2, 1, 2, 1, 7.000
10, 1, 3, 1, 3, 3, 2, 2, 2, 2, 65.000
10, 1, 4, 1, 1, 3, 1, 2, 1, 2, 319.000
10, 1, 5, 1, 1, 2, 1, 1, 2, 1, 339.000
10, 1, 6, 1, 3, 1, 2, 1, 2, 2, 0.000
10, 1, 7, 1, 3, 3, 1, 1, 2, 9, 11383.000
10, 1, 8, 1, 2, 2, 2, 1, 2, 2, 58.000
10, 1, 9, 1, 1, 2, 2, 1, 1, 1, 0.000
10, 1, 10, 1, 3, 2, 2, 2, 2, 2, 3866.000
10, 1, 11, 1, 1, 2, 2, 2, 2, 1, 510.000
10, 1, 12, 1, 3, 1, 1, 2, 1, 2, 138.000
10, 2, 1, 0, 1, 1, 2, 1, 1, 2, 24.000
10, 2, 2, 0, 3, 2, 2, 1, 2, 2, 0.000
10, 2, 3, 0, 3, 2, 1, 1, 2, 2, 1950.000
10, 2, 4, 0, 1, 1, 1, 1, 2, 1, 0.000
10, 2, 5, 0, 1, 3, 1, 1, 2, 1, 164.000
10, 2, 6, 0, 1, 3, 1, 2, 1, 1, 99.000
10, 2, 7, 0, 1, 1, 2, 2, 1, 1, 73.000
10, 2, 8, 0, 2, 2, 2, 1, 2, 2, 67.000
10, 2, 9, 0, 3, 3, 1, 2, 2, 2, 3087.000
10, 2, 10, 0, 1, 3, 2, 2, 2, 1, 151.000
10, 2, 11, 0, 2, 2, 2, 2, 1, 1, 443.000
10, 2, 12, 0, 2, 1, 2, 2, 1, 2, 179.000
10, 2, 13, 0, 3, 3, 2, 1, 2, 2, 1153.000
10, 2, 14, 0, 3, 1, 1, 1, 1, 2, 139.000
10, 2, 15, 0, 1, 2, 2, 2, 2, 2, 2537.000
10, 2, 16, 0, 2, 3, 1, 2, 2, 1, 1487.000
10, 2, 17, 0, 1, 2, 2, 1, 1, 1, 375.000
