vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
15, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2309.000
15, 1, 2, 1, 2, 2, 1, 1, 1, 9, 9513.000
15, 1, 3, 1, 3, 2, 2, 2, 1, 2, 747.000
15, 1, 4, 1, 2, 3, 1, 2, 2, 9, 22951.000
15, 1, 5, 1, 2, 3, 1, 1, 2, 2, 24.000
15, 1, 6, 1, 3, 1, 1, 2, 1, 2, 326.000
15, 1, 7, 1, 3, 1, 1, 1, 1, 2, 480.000
15, 1, 8, 1, 2, 1, 1, 2, 2, 2, 396.000
15, 1, 9, 1, 3, 2, 1, 1, 2, 9, 8136.000
15, 1, 10, 1, 2, 1, 2, 2, 1, 2, 1550.000
15, 1, 11, 1, 3, 2, 1, 2, 1, 9, 4378.000
15, 1, 12, 1, 1, 1, 2, 2, 2, 1, 271.000
15, 2, 1, 0, 3, 3, 1, 1, 1, 9, 12937.000
15, 2, 2, 0, 3, 1, 1, 2, 2, 2, 623.000
15, 2, 3, 0, 1, 3, 1, 2, 1, 9, 2947.000
15, 2, 4, 0, 1, 2, 1, 1, 2, 1, 599.000
15, 2, 5, 0, 2, 2, 1, 2, 1, 1, 1265.000
15, 2, 6, 0, 3, 2, 2, 1, 2, 2, 149.000
15, 2, 7, 0, 1, 2, 1, 2, 2, 1, 217.000
15, 2, 8, 0, 2, 3, 1, 1, 1, 2, 1350.000
15, 2, 9, 0, 2, 1, 2, 2, 1, 1, 3234.000
15, 2, 10, 0, 1, 2, 2, 1, 2, 1, 36.000
15, 2, 11, 0, 1, 1, 2, 2, 2, 1, 1198.000
15, 2, 12, 0, 2, 2, 2, 1, 1, 2, 280.000
15, 2, 13, 0, 2, 1, 2, 1, 2, 1, 4474.000
15, 2, 14, 0, 3, 3, 1, 2, 1, 9, 2180.000
15, 2, 15, 0, 1, 3, 2, 1, 1, 1, 824.000
15, 2, 16, 0, 2, 2, 2, 2, 2, 2, 484.000
15, 2, 17, 0, 1, 3, 1, 1, 2, 1, 156.000
15, 2, 18, 0, 2, 2, 1, 1, 2, 9, 4118.000
15, 2, 19, 0, 3, 1, 1, 1, 1, 2, 448.000
15, 2, 20, 0, 1, 2, 2, 2, 1, 1, 336.000
15, 2, 21, 0, 1, 1, 1, 1, 1, 1, 61.000
15, 2, 22, 0, 2, 3, 2, 2, 1, 9, 3059.000
15, 2, 23, 0, 3, 2, 1, 1, 2, 2, 0.000
15, 2, 24, 0, 3, 1, 2, 1, 2, 2, 3.000
15, 2, 25, 0, 3, 2, 1, 2, 2, 9, 2315.000
15, 2, 26, 0, 3, 1, 2, 2, 2, 9, 1925.000
15, 2, 27, 0, 1, 1, 1, 2, 2, 9, 1103.000
15, 2, 28, 0, 2, 3, 1, 2, 1, 1, 3619.000
15, 2, 29, 0, 1, 1, 2, 1, 2, 1, 929.000
15, 2, 30, 0, 2, 3, 2, 1, 1, 9, 3009.000
15, 2, 31, 0, 3, 2, 2, 2, 2, 2, 273.000
15, 2, 32, 0, 3, 3, 2, 2, 2, 9, 2373.000
15, 2, 33, 0, 3, 3, 2, 1, 2, 9, 1698.000
15, 2, 34, 0, 2, 1, 1, 1, 2, 1, 2600.000
15, 2, 35, 0, 2, 1, 1, 2, 2, 2, 1306.000
15, 2, 36, 0, 1, 3, 2, 2, 1, 1, 262.000
15, 3, 1, 0, 3, 3, 1, 2, 2, 9, 1686.000
15, 3, 2, 0, 2, 1, 2, 2, 2, 1, 72.000
15, 3, 3, 0, 3, 3, 2, 2, 2, 9, 2660.000
15, 3, 4, 0, 3, 2, 2, 2, 1, 2, 552.000
15, 3, 5, 0, 2, 3, 1, 1, 2, 9, 1844.000
15, 3, 6, 0, 2, 2, 2, 1, 1, 9, 2035.000
15, 3, 7, 0, 1, 1, 2, 1, 1, 1, 0.000
15, 3, 8, 0, 1, 2, 1, 2, 1, 9, 1879.000
15, 3, 9, 0, 2, 2, 2, 2, 2, 1, 191.000
15, 3, 10, 0, 1, 1, 1, 1, 2, 9, 1107.000
15, 3, 11, 0, 2, 1, 2, 1, 1, 9, 1281.000
15, 3, 12, 0, 2, 3, 2, 2, 2, 1, 97.000
15, 3, 13, 0, 1, 2, 1, 1, 2, 9, 575.000
15, 3, 14, 0, 1, 1, 2, 2, 2, 9, 821.000
15, 3, 15, 0, 1, 2, 2, 1, 2, 9, 0.000
15, 3, 16, 0, 2, 2, 1, 1, 2, 9, 2177.000
15, 3, 17, 0, 2, 1, 1, 1, 2, 1, 6695.000
15, 3, 18, 0, 2, 1, 1, 2, 1, 1, 1492.000
15, 3, 19, 0, 1, 3, 2, 2, 1, 1, 164.000
15, 3, 20, 0, 1, 3, 1, 2, 2, 9, 2852.000
15, 3, 21, 0, 3, 1, 2, 2, 1, 2, 0.000
15, 3, 22, 0, 3, 3, 1, 1, 1, 2, 14.000
15, 3, 23, 0, 2, 2, 1, 2, 1, 9, 2724.000
15, 3, 24, 0, 1, 1, 1, 2, 2, 1, 140.000
15, 3, 25, 0, 3, 1, 1, 2, 2, 2, 130.000
15, 3, 26, 0, 2, 3, 2, 1, 1, 2, 0.000
15, 3, 27, 0, 3, 2, 2, 1, 1, 9, 2604.000
15, 3, 28, 0, 1, 3, 2, 1, 1, 1, 0.000
15, 3, 29, 0, 3, 1, 2, 1, 1, 2, 246.000
