vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
6, 1, 1, 1, 2, 2, 2, 2, 1, 2, 276.000
6, 1, 2, 1, 3, 2, 1, 2, 2, 9, 6590.000
6, 1, 3, 1, 3, 2, 1, 1, 2, 2, 3823.000
6, 1, 4, 1, 1, 3, 2, 2, 2, 2, 795.000
6, 1, 5, 1, 1, 1, 2, 2, 1, 2, 677.000
6, 1, 6, 1, 3, 3, 2, 1, 1, 2, 0.000
6, 1, 7, 1, 2, 1, 2, 2, 1, 2, 3937.000
6, 1, 8, 1, 1, 2, 2, 2, 2, 2, 535.000
6, 1, 9, 1, 3, 1, 1, 2, 1, 2, 429.000
6, 1, 10, 1, 3, 1, 1, 1, 1, 2, 377.000
6, 1, 11, 1, 3, 1, 2, 1, 1, 2, 543.000
6, 1, 12, 1, 1, 3, 2, 1, 1, 1, 0.000
6, 2, 1, 0, 3, 1, 2, 2, 2, 2, 624.000
6, 2, 2, 0, 3, 2, 2, 1, 2, 2, 612.000
6, 2, 3, 0, 1, 1, 1, 2, 2, 2, 540.000
6, 2, 4, 0, 3, 3, 1, 2, 1, 2, 482.000
6, 2, 5, 0, 2, 3, 2, 2, 1, 2, 452.000
6, 2, 6, 0, 2, 2, 2, 2, 1, 2, 476.000
6, 2, 7, 0, 1, 3, 2, 1, 1, 1, 357.000
6, 2, 8, 0, 3, 3, 2, 1, 2, 2, 312.000
6, 2, 9, 0, 2, 1, 1, 1, 2, 1, 428.000
6, 2, 10, 0, 3, 3, 2, 2, 2, 2, 559.000
6, 2, 11, 0, 2, 3, 2, 1, 2, 2, 465.000
6, 2, 12, 0, 1, 1, 1, 1, 1, 1, 453.000
6, 2, 13, 0, 2, 3, 1, 1, 2, 2, 531.000
6, 2, 14, 0, 2, 2, 1, 1, 1, 2, 531.000
6, 2, 15, 0, 1, 3, 1, 2, 1, 1, 435.000
6, 2, 16, 0, 1, 3, 2, 2, 1, 1, 389.000
6, 2, 17, 0, 1, 3, 1, 1, 2, 2, 377.000
6, 2, 18, 0, 3, 2, 1, 2, 2, 2, 287.000
6, 2, 19, 0, 3, 1, 2, 1, 2, 2, 311.000
6, 2, 20, 0, 1, 1, 2, 1, 2, 1, 331.000
6, 2, 21, 0, 2, 2, 2, 1, 2, 2, 379.000
6, 2, 22, 0, 3, 1, 1, 2, 2, 1, 297.000
6, 2, 23, 0, 2, 1, 1, 2, 2, 1, 295.000
6, 2, 24, 0, 1, 1, 2, 2, 2, 2, 509.000
6, 2, 25, 0, 2, 1, 2, 1, 2, 2, 312.000
6, 2, 26, 0, 2, 3, 1, 2, 1, 2, 373.000
6, 2, 27, 0, 2, 1, 2, 2, 1, 1, 284.000
6, 2, 28, 0, 2, 2, 1, 2, 1, 1, 100.000
6, 2, 29, 0, 3, 2, 2, 2, 1, 2, 106.000
6, 2, 30, 0, 1, 2, 1, 1, 2, 1, 110.000
6, 2, 31, 0, 3, 2, 1, 1, 1, 2, 66.000
6, 2, 32, 0, 3, 1, 1, 1, 1, 2, 462.000
6, 2, 33, 0, 1, 2, 1, 2, 2, 2, 396.000
6, 2, 34, 0, 1, 2, 2, 1, 2, 1, 118.000
6, 2, 35, 0, 3, 3, 1, 1, 1, 2, 248.000
