vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
19, 1, 1, 1, 1, 3, 1, 2, 1, 2, 8802.000
19, 1, 2, 1, 1, 3, 2, 2, 1, 1, 10652.000
19, 1, 3, 1, 2, 2, 1, 1, 1, 1, 2468.000
19, 1, 4, 1, 3, 2, 1, 2, 1, 1, 1288.000
19, 1, 5, 1, 1, 2, 2, 1, 1, 2, 1752.000
19, 1, 6, 1, 3, 1, 2, 2, 1, 1, 2107.000
19, 1, 7, 1, 2, 1, 2, 2, 2, 1, 1825.000
19, 1, 8, 1, 3, 2, 2, 2, 2, 1, 719.000
19, 1, 9, 1, 2, 1, 2, 1, 1, 2, 21953.000
19, 1, 10, 1, 2, 3, 1, 2, 2, 1, 1565.000
19, 1, 11, 1, 3, 1, 1, 1, 2, 1, 247.000
19, 1, 12, 1, 1, 3, 1, 1, 2, 2, 1937.000
19, 2, 1, 0, 3, 3, 1, 2, 1, 1, 3746.000
19, 2, 2, 0, 3, 3, 1, 1, 1, 1, 3736.000
19, 2, 3, 0, 2, 2, 2, 2, 2, 1, 1128.000
19, 2, 4, 0, 3, 2, 2, 2, 1, 1, 722.000
19, 2, 5, 0, 1, 2, 1, 1, 1, 2, 260.000
19, 2, 6, 0, 3, 1, 2, 1, 2, 1, 9186.000
19, 2, 7, 0, 2, 2, 1, 1, 2, 1, 6528.000
19, 2, 8, 0, 1, 3, 2, 1, 2, 2, 464.000
19, 2, 9, 0, 3, 2, 1, 1, 1, 1, 2942.000
19, 2, 10, 0, 1, 1, 1, 1, 2, 2, 515.000
19, 2, 11, 0, 2, 2, 2, 1, 1, 2, 2560.000
19, 2, 12, 0, 3, 1, 1, 1, 1, 1, 5225.000
19, 2, 13, 0, 2, 3, 2, 1, 2, 2, 24943.000
19, 2, 14, 0, 2, 3, 2, 2, 2, 2, 797.000
19, 2, 15, 0, 2, 2, 1, 2, 2, 1, 713.000
19, 2, 16, 0, 3, 1, 2, 2, 2, 1, 8125.000
19, 2, 17, 0, 3, 3, 2, 1, 1, 1, 1294.000
19, 2, 18, 0, 1, 1, 2, 2, 2, 2, 3742.000
19, 2, 19, 0, 2, 1, 2, 1, 1, 2, 2428.000
19, 2, 20, 0, 1, 2, 2, 2, 1, 2, 706.000
19, 2, 21, 0, 3, 2, 1, 2, 2, 1, 1408.000
19, 2, 22, 0, 1, 2, 1, 2, 1, 2, 2842.000
19, 2, 23, 0, 1, 3, 2, 2, 1, 2, 1956.000
19, 2, 24, 0, 3, 3, 2, 2, 2, 1, 352.000
19, 2, 25, 0, 2, 1, 1, 2, 2, 2, 1684.000
19, 2, 26, 0, 1, 3, 1, 1, 1, 2, 1294.000
19, 2, 27, 0, 3, 2, 2, 1, 2, 1, 510.000
19, 2, 28, 0, 1, 1, 1, 2, 2, 2, 426.000
19, 2, 29, 0, 2, 1, 2, 2, 1, 2, 551.000
19, 2, 30, 0, 2, 1, 1, 1, 2, 2, 571.000
19, 2, 31, 0, 1, 2, 2, 1, 1, 2, 323.000
