vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
16, 1, 1, 1, 3, 1, 1, 1, 1, 2, 7685.000
16, 1, 2, 1, 3, 2, 2, 1, 2, 2, 4045.000
16, 1, 3, 1, 2, 1, 2, 2, 1, 2, 2839.000
16, 1, 4, 1, 1, 3, 2, 2, 2, 1, 5210.000
16, 1, 5, 1, 1, 1, 1, 2, 2, 2, 930.000
16, 1, 6, 1, 2, 1, 1, 2, 2, 2, 442.000
16, 1, 7, 1, 2, 3, 2, 1, 1, 2, 1692.000
16, 1, 8, 1, 1, 3, 1, 2, 2, 2, 716.000
16, 1, 9, 1, 2, 3, 1, 2, 1, 2, 336.000
16, 1, 10, 1, 3, 3, 2, 1, 1, 2, 520.000
16, 1, 11, 1, 3, 2, 1, 1, 1, 2, 700.000
16, 1, 12, 1, 1, 3, 2, 1, 2, 1, 324.000
16, 2, 1, 0, 3, 2, 2, 2, 2, 1, 540.000
16, 2, 2, 0, 3, 1, 1, 2, 2, 1, 113.000
16, 2, 3, 0, 3, 3, 1, 1, 1, 1, 539.000
16, 2, 4, 0, 3, 2, 1, 1, 2, 1, 793.000
16, 2, 5, 0, 3, 1, 2, 2, 2, 1, 459.000
16, 2, 6, 0, 1, 3, 2, 1, 2, 2, 497.000
16, 2, 7, 0, 1, 1, 1, 1, 2, 2, 551.000
16, 2, 8, 0, 1, 1, 2, 2, 2, 2, 107.000
16, 2, 9, 0, 1, 3, 1, 1, 1, 2, 255.000
16, 2, 10, 0, 1, 3, 1, 2, 2, 2, 637.000
16, 2, 11, 0, 1, 2, 1, 1, 2, 2, 207.000
16, 2, 12, 0, 1, 1, 1, 2, 2, 2, 3079.000
16, 2, 13, 0, 3, 1, 1, 1, 1, 1, 17.000
16, 2, 14, 0, 2, 2, 2, 2, 1, 1, 175.000
16, 2, 15, 0, 3, 1, 2, 1, 2, 1, 421.000
16, 2, 16, 0, 2, 3, 2, 1, 1, 2, 723.000
16, 2, 17, 0, 2, 2, 2, 1, 2, 1, 698.000
16, 2, 18, 0, 1, 2, 1, 2, 2, 2, 584.000
16, 2, 19, 0, 3, 3, 2, 1, 2, 1, 156.000
16, 2, 20, 0, 1, 2, 2, 1, 2, 2, 86.000
16, 2, 21, 0, 2, 3, 1, 1, 1, 1, 422.000
16, 2, 22, 0, 3, 2, 2, 1, 1, 1, 452.000
16, 2, 23, 0, 2, 3, 2, 2, 1, 1, 156.000
16, 2, 24, 0, 2, 1, 1, 2, 1, 1, 374.000
16, 2, 25, 0, 2, 1, 2, 2, 1, 1, 396.000
16, 2, 26, 0, 1, 3, 2, 2, 2, 2, 134.000
16, 2, 27, 0, 3, 3, 2, 2, 1, 1, 68.000
16, 2, 28, 0, 2, 1, 1, 1, 2, 1, 16.000
16, 2, 29, 0, 1, 2, 2, 2, 1, 2, 134.000
16, 2, 30, 0, 1, 1, 2, 1, 1, 2, 1092.000
16, 2, 31, 0, 2, 2, 1, 2, 1, 1, 196.000
16, 2, 32, 0, 2, 3, 1, 2, 1, 1, 126.000
16, 2, 33, 0, 3, 3, 1, 2, 2, 1, 158.000
16, 2, 34, 0, 2, 2, 1, 1, 2, 1, 551.000
16, 2, 35, 0, 2, 1, 2, 1, 2, 1, 883.000
16, 2, 36, 0, 3, 2, 1, 2, 1, 1, 637.000
16, 3, 1, 0, 2, 3, 1, 2, 1, 1, 323.000
16, 3, 2, 0, 1, 3, 1, 1, 2, 2, 0.000
16, 3, 3, 0, 3, 2, 1, 1, 2, 1, 101.000
16, 3, 4, 0, 1, 1, 1, 2, 1, 2, 115.000
16, 3, 5, 0, 2, 2, 1, 2, 2, 1, 309.000
16, 3, 6, 0, 1, 2, 1, 1, 1, 1, 153.000
16, 3, 7, 0, 3, 1, 1, 2, 1, 1, 309.000
16, 3, 8, 0, 3, 2, 2, 2, 2, 1, 577.000
16, 3, 9, 0, 1, 1, 2, 1, 1, 2, 55.000
16, 3, 10, 0, 2, 1, 2, 1, 2, 2, 108.000
16, 3, 11, 0, 3, 2, 1, 2, 1, 1, 440.000
16, 3, 12, 0, 3, 2, 2, 1, 2, 1, 154.000
16, 3, 13, 0, 2, 2, 2, 1, 1, 1, 36.000
16, 3, 14, 0, 1, 2, 2, 2, 2, 2, 0.000
16, 3, 15, 0, 3, 3, 1, 2, 1, 1, 32.000
16, 3, 16, 0, 3, 1, 2, 2, 2, 1, 0.000
16, 3, 17, 0, 1, 3, 1, 2, 1, 2, 0.000
16, 3, 18, 0, 2, 2, 2, 2, 1, 1, 56.000
16, 3, 19, 0, 1, 1, 1, 1, 2, 2, 118.000
16, 3, 20, 0, 2, 3, 2, 2, 1, 1, 144.000
16, 3, 21, 0, 2, 1, 1, 1, 2, 1, 2332.000
16, 3, 22, 0, 1, 1, 2, 2, 1, 2, 36.000
16, 3, 23, 0, 1, 2, 2, 1, 2, 2, 0.000
16, 3, 24, 0, 3, 3, 2, 2, 2, 1, 368.000
16, 3, 25, 0, 3, 1, 1, 1, 1, 1, 0.000
16, 3, 26, 0, 3, 3, 2, 1, 1, 1, 10.000
16, 3, 27, 0, 1, 2, 1, 2, 2, 1, 42.000
16, 3, 28, 0, 2, 2, 1, 1, 1, 1, 1107.000
16, 3, 29, 0, 3, 1, 2, 1, 1, 1, 63.000
16, 3, 30, 0, 1, 3, 2, 2, 1, 2, 0.000
16, 3, 31, 0, 2, 1, 1, 2, 2, 1, 509.000
16, 3, 32, 0, 1, 3, 2, 1, 1, 2, 161.000
16, 3, 33, 0, 2, 3, 2, 1, 2, 1, 2643.000
16, 3, 34, 0, 2, 3, 1, 1, 2, 1, 27.000
16, 3, 35, 0, 2, 1, 2, 2, 1, 1, 335.000
16, 3, 36, 0, 3, 3, 1, 1, 1, 1, 133.000
16, 4, 1, 0, 2, 3, 2, 2, 1, 1, 415.000
16, 4, 2, 0, 1, 3, 2, 2, 2, 2, 709.000
16, 4, 3, 0, 1, 3, 1, 2, 2, 2, 1073.000
16, 4, 4, 0, 1, 1, 1, 1, 1, 2, 995.000
16, 4, 5, 0, 2, 2, 2, 1, 1, 1, 117.000
16, 4, 6, 0, 2, 1, 2, 1, 2, 1, 0.000
16, 4, 7, 0, 3, 3, 1, 2, 1, 1, 3457.000
16, 4, 8, 0, 3, 1, 1, 1, 1, 1, 71.000
16, 4, 9, 0, 1, 1, 1, 2, 1, 2, 2498.000
16, 4, 10, 0, 1, 2, 1, 1, 2, 1, 112.000
16, 4, 11, 0, 3, 3, 1, 1, 1, 1, 442.000
16, 4, 12, 0, 3, 3, 2, 1, 1, 1, 106.000
16, 4, 13, 0, 1, 1, 2, 2, 2, 2, 158.000
16, 4, 14, 0, 2, 1, 2, 2, 1, 1, 0.000
16, 4, 15, 0, 1, 2, 1, 2, 1, 2, 3194.000
16, 4, 16, 0, 3, 2, 2, 1, 2, 1, 0.000
16, 4, 17, 0, 2, 1, 1, 2, 2, 1, 86.000
16, 4, 18, 0, 3, 1, 2, 1, 1, 1, 102.000
16, 4, 19, 0, 3, 1, 1, 2, 1, 1, 0.000
16, 4, 20, 0, 3, 2, 1, 2, 2, 1, 150.000
16, 4, 21, 0, 3, 3, 2, 2, 2, 1, 0.000
16, 4, 22, 0, 2, 2, 1, 2, 1, 1, 0.000
16, 4, 23, 0, 2, 3, 1, 2, 1, 1, 0.000
16, 4, 24, 0, 3, 2, 2, 2, 1, 1, 31.000
16, 4, 25, 0, 2, 3, 2, 1, 1, 1, 652.000
16, 4, 26, 0, 3, 1, 2, 2, 1, 1, 2410.000
16, 4, 27, 0, 1, 2, 2, 1, 1, 2, 0.000
16, 4, 28, 0, 1, 3, 1, 1, 2, 2, 483.000
16, 4, 29, 0, 1, 2, 2, 2, 1, 2, 123.000
16, 4, 30, 0, 3, 2, 1, 1, 2, 1, 0.000
16, 4, 31, 0, 1, 3, 2, 1, 1, 2, 735.000
16, 4, 32, 0, 2, 2, 1, 1, 1, 1, 221.000
16, 4, 33, 0, 2, 2, 2, 2, 1, 1, 1322.000
16, 4, 34, 0, 2, 1, 1, 1, 2, 1, 77.000
16, 4, 35, 0, 1, 1, 2, 1, 1, 1, 639.000
16, 4, 36, 0, 2, 3, 1, 1, 1, 1, 1241.000
16, 5, 1, 0, 2, 3, 2, 2, 2, 1, 567.000
16, 5, 2, 0, 2, 1, 2, 1, 2, 2, 2159.000
16, 5, 3, 0, 3, 2, 1, 2, 1, 1, 0.000
16, 5, 4, 0, 2, 1, 2, 2, 1, 1, 171.000
16, 5, 5, 0, 2, 1, 1, 2, 2, 1, 827.000
16, 5, 6, 0, 2, 3, 1, 2, 1, 1, 14.000
16, 5, 7, 0, 1, 1, 1, 2, 1, 2, 0.000
16, 5, 8, 0, 3, 3, 1, 1, 2, 1, 0.000
16, 5, 9, 0, 2, 2, 1, 2, 2, 1, 176.000
16, 5, 10, 0, 2, 3, 2, 1, 2, 1, 23.000
16, 5, 11, 0, 2, 1, 1, 1, 1, 1, 2346.000
16, 5, 12, 0, 1, 3, 2, 1, 1, 2, 0.000
16, 5, 13, 0, 3, 3, 1, 2, 2, 1, 0.000
16, 5, 14, 0, 1, 1, 2, 1, 1, 2, 226.000
16, 5, 15, 0, 1, 3, 1, 1, 1, 2, 46.000
16, 5, 16, 0, 1, 3, 1, 2, 2, 2, 134.000
16, 5, 17, 0, 1, 3, 2, 2, 1, 2, 0.000
16, 5, 18, 0, 2, 2, 2, 2, 1, 1, 502.000
